annee,type,production_tonne,superficie_ha,feuille
2022,amande,40000.0,22900.0,Feuil2
2022,pêche,9500.0,1380.0,Feuil2
2022,abricot,4300.0,1435.0,Feuil2
2022,prune,660.0,85.0,Feuil2
2022,pistache,950.0,7875.0,Feuil2
2022,cerise,380.0,130.0,Feuil2
2022,pomme,50000.0,6996.0,Feuil2
2022,olive,30000.0,90500.0,Feuil2
2022,poire,1800.0,131.0,Feuil2
2022,divers,2000.0,647.0,Feuil2
2023,amande,23665.0,30000.0,Feuil2
2023,pêche,1400.0,8000.0,Feuil2
2023,abricot,1440.0,5600.0,Feuil2
2023,prune,90.0,800.0,Feuil2
2023,pistache,8020.0,1100.0,Feuil2
2023,cerise,130.0,475.0,Feuil2
2023,pomme,9930.0,60000.0,Feuil2
2023,olive,93000.0,30000.0,Feuil2
2023,poire,196.0,2200.0,Feuil2
2023,divers,,,Feuil2
