annee,culture,production_tonne,feuille
2024,oignon,1025.0,Feuil1
2024,pomme_de_terre,2560.0,Feuil1
2024,melon,950.0,Feuil1
2024,pasteque,1920.0,Feuil1
2024,tomate,350.0,Feuil1
2024,concombre,1140.0,Feuil1
2024,piment,2100.0,Feuil1
2024,courge,900.0,Feuil1
2024,divers,250.0,Feuil1
2023,oignon,1950.0,Feuil1
2023,pomme_de_terre,4932.0,Feuil1
2023,melon,1389.0,Feuil1
2023,pasteque,3398.0,Feuil1
2023,tomate,744.0,Feuil1
2023,concombre,2093.0,Feuil1
2023,piment,2868.0,Feuil1
2023,courge,1493.0,Feuil1
2023,divers,1703.0,Feuil1
2022,oignon,1732.0,Feuil1
2022,pomme_de_terre,5668.0,Feuil1
2022,melon,2472.0,Feuil1
2022,pasteque,6104.0,Feuil1
2022,tomate,714.0,Feuil1
2022,concombre,2198.0,Feuil1
2022,piment,2729.0,Feuil1
2022,courge,1761.0,Feuil1
2022,divers,1507.5,Feuil1
2021,oignon,1750.0,Feuil1
2021,pomme_de_terre,7989.8,Feuil1
2021,melon,2640.0,Feuil1
2021,pasteque,6292.3,Feuil1
2021,tomate,1072.5,Feuil1
2021,concombre,4310.25,Feuil1
2021,piment,5037.3,Feuil1
2021,courge,4156.0,Feuil1
2021,divers,6816.6,Feuil1
2020,oignon,2956.0,Feuil1
2020,pomme_de_terre,8510.4,Feuil1
2020,melon,2548.5,Feuil1
2020,pasteque,6277.25,Feuil1
2020,tomate,856.5,Feuil1
2020,concombre,3634.75,Feuil1
2020,piment,4488.0,Feuil1
2020,courge,3630.0,Feuil1
2020,divers,3892.8,Feuil1
2019,oignon,2274.7,Feuil1
2019,pomme_de_terre,6004.25,Feuil1
2019,melon,1242.0,Feuil1
2019,pasteque,2830.75,Feuil1
2019,tomate,426.0,Feuil1
2019,concombre,2440.5,Feuil1
2019,piment,3187.2000000000003,Feuil1
2019,courge,2216.8,Feuil1
2019,divers,2419.0,Feuil1
2018,oignon,1684.1999999999998,Feuil1
2018,pomme_de_terre,6726.0,Feuil1
2018,melon,1117.5,Feuil1
2018,pasteque,3035.5,Feuil1
2018,tomate,304.8,Feuil1
2018,concombre,2399.1000000000004,Feuil1
2018,piment,3472.5,Feuil1
2018,courge,2059.6,Feuil1
2018,divers,1524.75,Feuil1
2017,oignon,1470.0,Feuil1
2017,pomme_de_terre,9015.465,Feuil1
2017,melon,1297.7181999999998,Feuil1
2017,pasteque,3070.1604,Feuil1
2017,tomate,180.25,Feuil1
2017,concombre,1726.2965,Feuil1
2017,piment,2550.1875,Feuil1
2017,courge,2199.9534000000003,Feuil1
2017,divers,577.8915000000001,Feuil1
2016,oignon,1148.0,Feuil1
2016,pomme_de_terre,7896.0,Feuil1
2016,melon,637.5,Feuil1
2016,pasteque,1855.25,Feuil1
2016,tomate,90.0,Feuil1
2016,concombre,1298.0,Feuil1
2016,piment,2460.0,Feuil1
2016,courge,1240.0,Feuil1
2016,divers,1725.0,Feuil1
2015,oignon,2270.0,Feuil1
2015,pomme_de_terre,10912.08,Feuil1
2015,melon,2559.75,Feuil1
2015,pasteque,5040.0,Feuil1
2015,tomate,674.75,Feuil1
2015,concombre,2702.3,Feuil1
2015,piment,5389.5,Feuil1
2015,courge,3483.4,Feuil1
2015,divers,1360.0,Feuil1
2014,oignon,1800.0,Feuil1
2014,pomme_de_terre,16319.595,Feuil1
2014,melon,1859.0,Feuil1
2014,pasteque,4675.0,Feuil1
2014,tomate,360.1375,Feuil1
2014,concombre,3850.0,Feuil1
2014,piment,4710.0,Feuil1
2014,courge,1797.0,Feuil1
2014,divers,1675.05,Feuil1
2013,oignon,1200.0,Feuil1
2013,pomme_de_terre,15509.95,Feuil1
2013,melon,609.998,Feuil1
2013,pasteque,1920.0,Feuil1
2013,tomate,620.0,Feuil1
2013,concombre,3150.0,Feuil1
2013,piment,3936.0,Feuil1
2013,courge,1380.0,Feuil1
2013,divers,1637.8,Feuil1
