الحمـلات,عدد_الرووس_الملقحة,نسبة_التغطية,annee,feuille
الحمى القلاعية للأبقار,34761,98.2,2022,Feuil1
الحمى القلاعية للغنم والماعز,432741,86.5,2022,Feuil1
مقاومة مرضى الجدري للأغنام,317726,70.6,2022,Feuil1
مقاومة داء الكلب,19862,86.4,2022,Feuil1
مقاومة الحمى المالطية للأغنام والماعز,,,2022,Feuil1
مقاومة اللسان الأزرق للأغنام,,,2022,Feuil1
