annee,delegation,cereales_t,cultures_maraicheres_t,legumineuses_t,fourrages_t,arboricultures_t,oliviers_t,feuille
2020,Siliana  Nord,16398,6735.0,167.0,25050,2539,3231,Feuil1
2020,Siliana  Sud,11295,5486.0,175.0,25900,5747,6332,Feuil1
2020,Bouarada,7761,6662.0,85.0,15700,1370,19781,Feuil1
2020,Gaafour,9756,8473.0,492.0,24900,3813,14417,Feuil1
2020,Lâroussa,3061,8618.0,40.0,25300,5513,7095,Feuil1
2020,El Krib,18905,8780.0,3655.0,25700,5038,5536,Feuil1
2020,Bourouis,14384,6735.0,845.0,20350,3232,11091,Feuil1
2020,Makthar,14991,1973.0,27.0,7350,9358,2230,Feuil1
2020,Bargou,22473,9450.0,111.0,26550,5892,5917,Feuil1
2020,Kesra,3770,815.0,10.0,4700,6980,4127,Feuil1
2020,Rouhia,2531,4671.0,23.0,2850,16323,4243,Feuil1
2020,Gouvernorat,125325,68398.0,5630.0,204350,65805,84000,Feuil1
2021,Siliana  Nord,33693,2350.0,6100.0,32200,854,556,Feuil1
2021,Bouarada,20522,2480.0,1000.0,12000,756,1630,Feuil1
2021,Gaafour,13465,3900.0,6700.0,30800,2006,3317,Feuil1
2021,Lâroussa,18658,6520.0,8000.0,26800,7758,776,Feuil1
2021,El Krib,26805,8600.0,41500.0,37700,3790,1092,Feuil1
2021,Bourouis,8961,2750.0,3650.0,20000,1027,1367,Feuil1
2021,Makthar,13420,1410.0,3200.0,32000,1452,1474,Feuil1
2021,Bargou,32305,5500.0,4200.0,20200,3264,457,Feuil1
2021,Kesra,2362,1170.0,200.0,4000,1806,529,Feuil1
2021,Rouhia,1160,7800.0,350.0,9400,1450,863,Feuil1
2021,Siliana  Sud,26002,4700.0,8500.0,38200,2365,816,Feuil1
2021,Gouvernorat,197353,47150.0,83400.0,263300,26528,12877,Feuil1
2022,Siliana  Nord,35182,2001.0,240.0,29082,1450,876,Feuil1
2022,Bouarada,30710,1477.0,153.0,10838,780,3307,Feuil1
2022,Gaafour,27189,832.0,28.0,27817,2175,2588,Feuil1
2022,Lâroussa,24485,0.0,430.0,24204,3150,1420,Feuil1
2022,El Krib,27263,13797.0,805.0,34049,2880,2107,Feuil1
2022,Bourouis,20063,1550.0,325.0,18063,1850,3616,Feuil1
2022,Makthar,16100,986.0,75.0,28901,5350,1261,Feuil1
2022,Bargou,30995,2054.0,297.0,18244,3360,1438,Feuil1
2022,Kesra,9300,426.0,18.0,3613,3980,858,Feuil1
2022,Rouhia,5587,5121.0,16.8,8490,9300,1552,Feuil1
2022,Siliana  Sud,23158,2820.0,216.0,34500,3280,1681,Feuil1
2022,Gouvernorat,250032,31064.0,2603.8,237800,37555,20703,Feuil1
2023,Siliana  Nord,155,3750.0,5.0,125,751,1457,Feuil1
2023,Bouarada,75,1150.0,,95,572,4211,Feuil1
2023,Gaafour,0,1953.0,,40,1394,5334,Feuil1
2023,Lâroussa,0,294.0,,73,4247,2474,Feuil1
2023,El Krib,2662,15758.0,465.0,410,3835,3005,Feuil1
2023,Bourouis,302,2549.0,7.0,52,923,3415,Feuil1
2023,Makthar,74,1052.0,11.0,55,5965,1569,Feuil1
2023,Bargou,925,1290.0,15.0,70,4043,2160,Feuil1
2023,Kesra,0,123.0,,20,2723,1587,Feuil1
2023,Rouhia,685,3813.0,12.0,100,28140,2533,Feuil1
2023,Siliana  Sud,155,4225.0,17.0,430,2492,2500,Feuil1
2023,Gouvernorat,5032,35957.0,533.0,1470,55086,30243,Feuil1
2024,Siliana  Nord,178400,3370.0,65.5,16344,754,647,Feuil1
2024,Bouarada,77150,718.0,48.0,10381,594,1716,Feuil1
2024,Gaafour,65570,1340.0,980.0,8393,1640,1830,Feuil1
2024,Lâroussa,51460,103.5,156.0,7730,5039,1243,Feuil1
2024,El Krib,195485,20928.0,2334.0,24958,4390,1468,Feuil1
2024,Bourouis,66330,2635.0,227.0,14357,1213,1446,Feuil1
2024,Makthar,120900,1065.0,66.0,9277,7092,1148,Feuil1
2024,Bargou,164957,816.0,46.0,11927,3039,837,Feuil1
2024,Kesra,48227,103.0,0.0,2650,3102,1004,Feuil1
2024,Rouhia,26622,5820.0,20.0,15903,4771,1636,Feuil1
2024,Siliana  Sud,114540,3975.0,37.5,20320,1994,1311,Feuil1
2024,Gouvernorat,1109659,40873.5,3980.0,142240,33628,14287,Feuil1
