gouvernorat_الولاية,ابار_عميقة_sondage,السدود_grand_barrage,السدود_barrage_collinaire,ابار_سطحية_puit_de_surface,ضخ_على_اودية_ponpage_sur_oued,المياه_المعالجة_eau_usee,autres_sources,feuille
تونس,,,,,0 020,,,Feuil1
أريانة,,2020,,,,0 350,,Feuil1
منوبة,6340.0,,,,,,,Feuil1
بن عروس,1040.0,3550,0 080,0 290,,,,Feuil1
نابل,1500.0,20230,0 400,,,0 500,,Feuil1
بنزرت,370.0,6300,0 110,0 460,,,,Feuil1
باجة,150.0,9700,,,,,0 290,Feuil1
جندوبة,3520.0,22190,,,,,,Feuil1
الكاف,1160.0,0 060,0 130,,,,0 210,Feuil1
سليانة,1040.0,0 490,0 180,,,0 090,0 120,Feuil1
زغوان,1560.0,,0 100,,,,,Feuil1
سوسة,1100.0,2090,,,,0 370,,Feuil1
المنستير,970.0,1660,,,,0 010,,Feuil1
المهدية,1540.0,,,,,,,Feuil1
صفاقس,1500.0,,,,,0 290,,Feuil1
القيروان,6190.0,7700,,,,0 320,,Feuil1
القصرين,9310.0,,0 410,0 280,,0 130,0 220,Feuil1
سيدي بوزيد,5850.0,,,,,,,Feuil1
قفصة,6950.0,,,,,,,Feuil1
قابس,13430.0,,,,,,,Feuil1
مدنين,280.0,,,,,0 060,,Feuil1
توزر,6960.0,,,,,,0 180,Feuil1
قبلي,10520.0,,,,,,,Feuil1
تطاوين,4120.0,,,,,,,Feuil1
