annee,mois,ble_dur_local,ble_dur_import,ble_tendre_local,ble_tendre_import,orge_local,orge_import,feuille
2018,janvier,17202.0,34020.0,971.0,31599.0,62.0,12774.0,Feuil1
2018,fevrier,24823.0,25606.0,2463.0,29262.0,106.0,13872.0,Feuil1
2018,mars,18179.0,32110.0,1719.0,32383.0,59.0,14631.0,Feuil1
2018,avril,19020.0,34945.0,220.0,36881.0,536.0,13324.0,Feuil1
2018,mai,5811.0,52062.0,26.0,30421.0,384.0,15040.0,Feuil1
2018,juin,29935.0,23046.0,1577.0,33812.0,1203.0,17336.0,Feuil1
2018,juillet,45053.0,18329.0,4665.0,39642.0,4217.0,14808.0,Feuil1
2018,aout,43949.0,9754.0,3598.0,39613.0,4887.0,13049.0,Feuil1
2018,septembre,37499.0,13700.0,2586.0,40361.0,1624.0,18987.0,Feuil1
2018,octobre,29928.0,24173.0,2720.0,39896.0,791.0,21021.0,Feuil1
2018,novembre,25460.0,25824.0,2424.0,38105.0,401.0,20806.0,Feuil1
2018,decembre,33738.0,33535.0,1094.0,54852.0,151.0,35057.0,Feuil1
2019,janvier,36894.0,36863.0,176.0,58451.0,58.0,41532.0,Feuil1
2019,fevrier,30359.0,29635.0,189.0,61115.0,212.0,36889.0,Feuil1
2019,mars,19571.0,38432.0,113.0,60330.0,233.0,38881.0,Feuil1
2019,avril,7993.0,70236.0,16.0,79058.0,66.0,41853.0,Feuil1
2019,mai,386.0,60362.0,9.0,53475.0,111.0,40012.0,Feuil1
2019,juin,42026.0,27777.0,1903.0,54621.0,101.0,28690.0,Feuil1
2019,juillet,79468.0,9554.0,6023.0,49138.0,101.0,25291.0,Feuil1
2019,aout,60647.0,2160.0,8134.0,45877.0,13120.0,306.0,Feuil1
2019,septembre,37846.0,12645.0,4082.0,35046.0,12685.0,116.0,Feuil1
2019,octobre,44556.0,7188.0,4598.0,41370.0,11681.0,1884.0,Feuil1
2019,novembre,46210.0,12277.0,3124.0,41446.0,9823.0,7521.0,Feuil1
2019,decembre,56492.0,6177.0,3014.0,41806.0,6916.0,12833.0,Feuil1
2020,janvier,40791.07,22420.414,1996.118,44144.816,5508.203,14477.081,Feuil1
2020,fevrier,46157.463,18450.199,70.777,45773.892,1265.49,22020.176,Feuil1
2020,mars,20802.762,54558.922,0.0,53311.094,130.335,26161.148,Feuil1
2020,avril,26756.515,54883.715,28.698,54446.4833,13.4535388,27617.098,Feuil1
2020,mai,11364.757,69989.151,0.0,52891.459,4.683,28466.561,Feuil1
2020,juin,25661.394,48988.666,1339.5333,47937.681,0.0,29290.951,Feuil1
2020,juillet,,,,,,,Feuil1
2020,aout,,,,,,,Feuil1
2020,septembre,,,,,,,Feuil1
2020,octobre,,,,,,,Feuil1
2020,novembre,,,,,,,Feuil1
2020,decembre,,,,,,,Feuil1
2021,janvier,40653299.534,27887342.804,27713.734,53300205.571,11895.167,29536074.651,Feuil1
2021,fevrier,44256692.696,25210251.25,54360.0,58690166.282,0.0,33858851.247,Feuil1
2021,mars,24542500.414,64719587.552,49028.62,59489540.592,253.688,36659873.033,Feuil1
2021,avril,11741657.216,47376530.911,22260.582,50349968.219,0.0,26294675.383,Feuil1
2021,mai,585993.827,87784185.14,0.0,64321310.578,98934.449,49307926.125,Feuil1
2021,juin,47581418.548,41173604.023,938862.7,56942041.937,160269.06,37269807.978,Feuil1
2021,juillet,58140784.195,20929134.604,8384481.746,59568539.745,154239.674,31088768.32,Feuil1
2021,aout,59719619.936,18576086.435,4543846.366,58805187.868,355907.489,36248974.427,Feuil1
2021,septembre,65065905.133,11950752.681,1869246.576,63579090.656,109927.322,38395546.218,Feuil1
2021,octobre,,,,,,,Feuil1
2021,novembre,,,,,,,Feuil1
2021,decembre,,,,,,,Feuil1
2022,janvier,42270009.83580001,71457638.27217495,44380.970199999996,90112215.0,69955.4016,48387162.45048025,Feuil1
2022,fevrier,31130719.0,103915164.53799686,5284.1184,94381584.9784337,0.0,45764013.67862956,Feuil1
2022,mars,5323482.486,189715583.4379376,83817.438,103996734.89521311,0.0,46572949.04254091,Feuil1
2022,avril,1852224.8052,182979831.2898582,0.0,95089726.44993442,0.0,45557407.02964482,Feuil1
2022,mai,1117708.0868,173377055.19000584,0.0,119647655.96783912,0.0,47953651.27613656,Feuil1
2022,juin,86885889.832,57036823.768921286,4900399.698,116914349.66153352,212385.756,46705847.99956496,Feuil1
2022,juillet,90040920.429,40992067.138,20813368.203,102084929.223,5219608.068,46980972.125,Feuil1
2022,aout,105332809.019,18637273.067,1924891.277,129601520.511,2511214.966,54767183.234,Feuil1
2022,septembre,117716677.737,186537.383,1375342.0,126528933.368,2175168.574,59495906.733,Feuil1
2022,octobre,113363565.105,7341285.794,353456.704,123844540.638,120358.65,65773751.603,Feuil1
2022,novembre,103912769.984,22226051.683,132577.855,111326358.909,11695.584,48021635.691,Feuil1
2022,decembre,50562917.225,92681789.392,39463.425,108410613.512,21954.426,58554448.128,Feuil1
2023,janvier,66098458.27,56665912.037,0.0,115565159.737,0.0,47074118.96,Feuil1
2023,fevrier,4915802.549,147638096.454,0.0,102028970.756,142674.36,42637977.746,Feuil1
2023,mars,0.0,103341809.374,0.0,100229883.617,0.0,36979371.625,Feuil1
2023,avril,0.0,101315849.72,0.0,82706666.086,0.0,32037269.542,Feuil1
2023,mai,13891.394,104808572.586,26788.586,93500957.154,214393.834,31994936.121,Feuil1
2023,juin,22766732.002,96589186.14,132206.103,89953706.789,266577.098,24361568.776,Feuil1
2023,juillet,108550429.12,33501734.649,4933557.684,86673415.761,24569.122,19172020.35,Feuil1
2023,aout,58075782.408,72300508.201,688439.862,74612045.498,12454.884,22266548.263,Feuil1
2023,septembre,14600096.014,100835248.056,136579.157,89281706.4,243067.174,35677414.23,Feuil1
2023,octobre,14651631.342,106390103.62,88444.291,79643405.266,27583.681,13299616.226,Feuil1
2023,novembre,18101882.892,101646033.433,84787.184,71112149.486,3263.454,12530822.988,Feuil1
2023,decembre,,,,,,,Feuil1
2024,janvier,4898581.028,116187630.673,,66205684.911,,10417805.867,Feuil1
2024,fevrier,39632231.026,84804438.46,2181.165,77376827.962,555.6,-58503.825,Feuil1
2024,mars,15438674.399,108228861.376,303046.081,71840201.782,0.0,-1493931.742,Feuil1
2024,avril,7712345.208,109073233.644,0.0,71214002.187,0.0,-2711742.639,Feuil1
2024,mai,21829401.76,61234622.753,6096.024,64833296.59,0.0,-1756886.724,Feuil1
2024,juin,101661405.826,22818200.566,6440280.235,63625200.213,0.0,-803643.985,Feuil1
2024,juillet,101231542.899,23245122.717,8135596.662,68977968.816,1228375.312,68977968.816,Feuil1
2024,aout,96551922.277,24535132.685,1994428.305,66062677.407,1932780.219,-81601.488,Feuil1
2024,septembre,92306149.394,25164981.709,3229411.703,65201898.313,1245595.694,-532428.497,Feuil1
2024,octobre,63307250.726,30348060.692,279778.752,65002230.736,681981.726,-1904810.122,Feuil1
2024,novembre,,,,,,,Feuil1
2024,decembre,,,,,,,Feuil1
2025,janvier,32575489.57,66674701.058,89205.408,66208256.414,228948.53999999998,-4289726.615,Feuil1
2025,fevrier,11840503.171,80313090.3,18596.16,68916126.58,480452.488,-2056124.582,Feuil1
2025,mars,47502063.971,53437198.085,0.0,67036412.627,29120.55,-785276.087,Feuil1
2025,avril,26059141.938,66648903.238,20519.524,65532083.836,15144.489000000001,-58557.337,Feuil1
2025,mai,8015500.373,55191640.764,8420.867,63848078.423,17428.068,313444.678,Feuil1
2025,juin,125071464.96,8704450.125,19745631.706,54373051.585,0.0,27012.277,Feuil1
2025,juillet,148018281.327,4738182.726,19468701.109,57811696.912,6771525.084,-64815.453,Feuil1
2025,aout,103572493.948,15627730.669,10242447.257,54547719.288,9797955.156,-5674.853,Feuil1
2025,septembre,102258660.143,12904548.54,8341606.552,50518307.524,12625297.696999999,-55627.774,Feuil1
2025,octobre,124813934.81,0.0,1996419.642,58992126.901,12318621.092,-80164.829,Feuil1
