nbr_projets,inv_declare,nbr_emploi,gouv_ar,gouv_fr,delegation_ar,delegation_fr,secteur_act_ar,secteur_act_ar_1,mois_ar,mois_fr,annee_doa,feuille
,295000,0,المهدية,MAHDIA,الجم,EL JEM,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
4.0,395245,3,مدنين,MEDENINE,سيدي مخلوف,SID MAKHLOUF,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,1174000,13,صفاقس,SFAXE,صفاقس المدينة,SFAXE MEDINA,الصيد البحري,PECHE,أفريل,avr.,2017,SQL Results
1.0,150000,1,صفاقس,SFAXE,ساقية الزيت,SAKIYET EZIT,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,48823,1,قفصة,GAFSA,القصر,EL KSSAR,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,53870,1,قفصة,GAFSA,قفصة الجنوبية,GAFSA SUD,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,38000,1,سوسة,SOUSSE,مساكن,MSAKEN,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,78243,1,باجة,BEJA,تيبار,TIBAR,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,37341,0,نابل,NABEUL,قليبية,KLIBYA,الصيد البحري,PECHE,أفريل,avr.,2017,SQL Results
1.0,11500,0,تطاوين,TATAWINE,رمادة,REMEDA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,154740,2,قفصة,GAFSA,الرديف,ERDAYEF,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
7.0,1395574,54,قفصة,GAFSA,سيدي عيش,SIDI ICH,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,101000,0,القيروان,KAIROUAN,سيدي عمر بوحجلة,SIDI OMOR BOUHAJLA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
