الميناء,صيد_ساحلي,صيد_بالجر_القاعي,صيد_بالجر_العايم,صيد_السمك_الازرق,صيد_التنيات,صيد_بالبحيرات,تربية_الاحياء_المايية,صيد_المحــــار,صيد_الاسفنج,صيد_المرجان_الاحمر,صيد_جراد_البحر,feuille
طبرقة,147325.0,502330.0,,28277.0,,,,,,652.0,4161.0,أنتاج بالكلغ
زوارع,279101.0,,,,,,,,,,,أنتاج بالكلغ
سد سيدي سالم,,,,,,,574160.0,,,,,أنتاج بالكلغ
سد بني مطير وبوهرتمة,,,,,,,10000.0,,,,,أنتاج بالكلغ
سد سيدي البراق,,,,,,,105590.0,,,,,أنتاج بالكلغ
سد كساب,,,,,,,24480.0,,,,,أنتاج بالكلغ
سد بربرا,,,,,,,7500.0,,,,,أنتاج بالكلغ
سد الزرقة,,,,,,,2000.0,,,,,أنتاج بالكلغ
بنزرت,976263.0,1946972.43,,171506.4,,,167302.0,,315.0,6487.0,,أنتاج بالكلغ
جالطة,,,,,,,,,,,30547.04,أنتاج بالكلغ
تينجة,,,,,,43500.0,,,,,,أنتاج بالكلغ
م. عبد الرحمان,,,,,,70175.0,,,,,,أنتاج بالكلغ
كاب زبيب,91567.28,,,,,,,,,,,أنتاج بالكلغ
رفراف,,,,,,,,,,,,أنتاج بالكلغ
غار الملح,376295.74000000005,,,1781251.1,,52871.0,985735.0,,,,,أنتاج بالكلغ
سيدي مشرق,44954.36000000001,,,,,,,,,517.0,,أنتاج بالكلغ
سد جومين,,,,,,,3195.0,,,,,أنتاج بالكلغ
سد سجنان,,,,,,,3055.0,,,,,أنتاج بالكلغ
سد غزالة والزياتين,,,,,,,3820.0,,,,,أنتاج بالكلغ
أريانة,105568.0,,,,,,,,,,,أنتاج بالكلغ
حلق الوادي,134165.86,1562855.58,,739675.4,,101367.88,,,,,,أنتاج بالكلغ
قمرت والمرسى,45356.0,,,,,,,,,,,أنتاج بالكلغ
سيدي بو سعيد,76418.0,,,,,,,,,,,أنتاج بالكلغ
خير الدين وصلامبو,29432.0,,,,,,,,,,,أنتاج بالكلغ
بن عروس,208720.119472,,,,,16562.0,2638.0,,,,,أنتاج بالكلغ
قليبية,955056.4999999999,2235285.0,69797.0,6561335.35,,,,,,,12765.199999999999,أنتاج بالكلغ
سليمان,397387.0,,,,,,,,,,,أنتاج بالكلغ
سيدي داود,850629.7,,,610529.25,,,,,,,5204.299999999999,أنتاج بالكلغ
بني خيار,489226.92000000004,,,1390591.5,,,1584427.0,,,,,أنتاج بالكلغ
الحمامات,,,,,,,665177.0,,,,,أنتاج بالكلغ
الهوارية,36789.36,,,,,,,,,,6.0,أنتاج بالكلغ
سد الملاعبي ولبنة,,,,,,,6269.0,,,,,أنتاج بالكلغ
سد بزيرق,,,,,,,5441.0,,,,,أنتاج بالكلغ
سد المصري,,,,,,,3800.0,,,,,أنتاج بالكلغ
سد العبيد ولحجار,,,,,,,12238.0,,,,,أنتاج بالكلغ
سوسة,702922.7200000001,913774.28,,1458739.35,,,,,,,,أنتاج بالكلغ
السلوم,48138.0,,,,,,,,,,,أنتاج بالكلغ
هرقلة,99698.2,,,20125.0,723190.0,,1179329.0,,,,,أنتاج بالكلغ
القنطاوي,49984.0,,,,,,,,,,,أنتاج بالكلغ
سيدي عبد الحميد,352679.72,,,,,,,,,,,أنتاج بالكلغ
المنستير,198175.19999999995,,,,,,3042703.0,,,,,أنتاج بالكلغ
خنيس,68003.8,,,,,,,,,,,أنتاج بالكلغ
قصيبة المديوني,59665.26000000001,,,,,,,,,,,أنتاج بالكلغ
صيادة,165529.40000000002,,,,,,,,,,,أنتاج بالكلغ
طبلبة,1294851.14,478229.31,,18449371.8,,,8141416.0,,,,,أنتاج بالكلغ
بقالطة,226799.59999999998,,,,,,2133534.0,,,,,أنتاج بالكلغ
مهدية,298604.7,1556388.9700000002,,1793127.15,,,1233000.0,,,,,أنتاج بالكلغ
صلقطة,74834.0,,,,,,,,,,,أنتاج بالكلغ
الشابة,5702529.72,3945637.8,,3191804.3,,,1150383.0,,,,,أنتاج بالكلغ
ملولش,501825.16000000003,,,,,,,,,,,أنتاج بالكلغ
صفاقس,297443.14,7786712.7,,42009.5,1329960.0,,5100.0,121893.0,,,,أنتاج بالكلغ
اللوزة,1222137.2,,,,,,,,,,,أنتاج بالكلغ
العوابد,203131.0,,,,,,,,,,,أنتاج بالكلغ
سيدي منصور,192466.80000000002,,,,,,,,,,,أنتاج بالكلغ
مليتة,3226069.6,,,,,,,,,,,أنتاج بالكلغ
العطايا,622158.8,,,,,,,,,,,أنتاج بالكلغ
القراطن,920330.4,,,,,,,,13000.0,,,أنتاج بالكلغ
زبوسة,379523.43999999994,,,,,,,268857.0,,,,أنتاج بالكلغ
المحرس,,,,,,,,226015.0,,,,أنتاج بالكلغ
الصخيرة,354275.80000000005,,,73082.5,,,,55845.0,,,,أنتاج بالكلغ
قابس,2150689.4,,,2635188.2,,,4000.0,,,,,أنتاج بالكلغ
غنوش,711620.22,,,812788.95,,,,,,,,أنتاج بالكلغ
الزرات,217657.6,,,704464.7,,,,23835.0,,,,أنتاج بالكلغ
جرجيس,2946534.08,318037.58999999997,,9304625.850000001,,,221690.0,,17500.0,,,أنتاج بالكلغ
حومة السوق,1766196.0,,,86250.0,,,,,,,,أنتاج بالكلغ
أجيم,780077.0,,,,,,11500.0,11440.0,,,,أنتاج بالكلغ
بوغرارة,559934.3999999999,,,,,,,,,,,أنتاج بالكلغ
الكتف,1579068.4000000001,,,,,,,,,,,أنتاج بالكلغ
أغير,178735.4,,,,,,,,,,,أنتاج بالكلغ
حاسي جلابة,225606.75999999998,,,,,,,26645.0,,,,أنتاج بالكلغ
القرين,225023.13999999998,,,,,,,,,,,أنتاج بالكلغ
بحيرة البيبان,,,,,,237380.0,,,,,,أنتاج بالكلغ
سليانة,,,,,,,19967.0,,,,,أنتاج بالكلغ
لخماس وصماتي,,,,,,,17891.0,,,,,أنتاج بالكلغ
سيدي  سعـــد ونبهانة,,,,,,,513865.0,,,,,أنتاج بالكلغ
بئر مشارقة والرمل,,,,,,,8920.0,,,,,أنتاج بالكلغ
ملاق والسواني,,,,,,,17150.0,,,,,أنتاج بالكلغ
تربية الطحالب بسيدي بوزيد,,,,,,,1000.0,,,,,أنتاج بالكلغ
تربية الأسماك بالمياه العذبة بتطاوين وقبلي,,,,,,,1800.0,,,,,أنتاج بالكلغ
