annee,delegation,aquaculture,peche_cotiere,peche_chalut,peche_poisson_bleu,peche_eponge,peche_palourde,feuille
2021,Sfax,7.1,978.0,5147.0,9.0,0,0,Feuil1
2021,Kerkennah,0.0,6803.0,0.0,0.0,0,0,Feuil1
2021,Mahrès,0.0,685.0,0.0,413.0,0,0,Feuil1
2021,Ellouza,0.0,1203.0,0.0,0.0,0,0,Feuil1
2021,Sidi Mansour,0.0,277.0,0.0,0.0,0,0,Feuil1
2021,Skhira,0.0,285.0,0.0,137.0,0,0,Feuil1
2021,Awabed,0.0,99.0,0.0,0.0,0,0,Feuil1
2021,Zabboussa,0.0,7.0,0.0,0.0,0,0,Feuil1
2022,Sfax,4.86,728.0,5048.0,13.0,0,0,Feuil1
2022,Kerkennah,0.0,4920.0,0.0,0.0,0,0,Feuil1
2022,Mahrès,0.0,781.0,0.0,313.0,0,0,Feuil1
2022,Ellouza,0.0,1113.0,0.0,0.0,0,0,Feuil1
2022,Sidi Mansour,0.0,204.0,0.0,0.0,0,0,Feuil1
2022,Skhira,0.0,360.0,0.0,181.0,0,0,Feuil1
2022,Awabed,0.0,96.0,0.0,0.0,0,0,Feuil1
2022,Zabboussa,0.0,0.0,0.0,0.0,0,0,Feuil1
2023,Sfax,10.095,,4254.351,2.82,0,0,Feuil1
2023,Kerkennah,0.0,5105.894,0.0,0.0,0,0,Feuil1
2023,Mahrès,0.0,732.733,0.0,371.846,0,0,Feuil1
2023,Ellouza,0.0,927.544,0.0,0.0,0,0,Feuil1
2023,Sidi Mansour,0.0,,0.0,0.0,0,0,Feuil1
2023,Skhira,0.0,559.267,0.0,158.24,0,0,Feuil1
2023,Awabed,0.0,116.44,0.0,0.0,0,0,Feuil1
2023,Zabboussa,0.0,,0.0,0.0,0,0,Feuil1
2024,Sfax,6.05,655.29,4216.0,2.82,0,0,Feuil1
2024,Kerkennah,0.0,3856.84,0.0,0.0,0,0,Feuil1
2024,Mahrès,0.0,756.84,0.0,178.14,0,0,Feuil1
2024,Ellouza,0.0,1461.19,0.0,0.0,0,0,Feuil1
2024,Sidi Mansour,0.0,183.69,0.0,0.0,0,0,Feuil1
2024,Skhira,0.0,590.9,0.0,103.78,0,0,Feuil1
2024,Awabed,0.0,340.06,0.0,0.0,0,0,Feuil1
2024,Zabboussa,0.0,0.0,0.0,0.0,0,0,Feuil1
