annee,delegation,superficie_cereales_ha,superficie_fourrages_ha,superficie_legumes_ha,superficie_legumineuses_ha,feuille
2023,قابس المدينة,58,215,360,3,Feuil1
2023,قابس الغربية,71,285,555,7,Feuil1
2023,قابس الجنوبية,80,235,1360,26,Feuil1
2023,غنوش,68,287,796,4,Feuil1
2023,المطوية/وذرف,84,323,2423,6,Feuil1
2023,منزل الحبيب,0,6,177,0,Feuil1
2023,الحامة/الحامة غ,308,1207,1573,27,Feuil1
2023,مطماطة القديمة,0,0,0,0,Feuil1
2023,مطماطة الجديدة,19,77,499,3,Feuil1
2023,مارث + دخيلة توجان,397,1585,1543,36,Feuil1
2023,المجموع,1085,4220,9286,112,Feuil1
2024,قابس المدينة,398,241,363,6,Feuil1
2024,قابس الغربية,481,319,560,13,Feuil1
2024,قابس الجنوبية,546,263,1373,50,Feuil1
2024,غنوش,463,322,804,8,Feuil1
2024,المطوية/وذرف,574,362,2446,12,Feuil1
2024,منزل الحبيب,0,7,179,0,Feuil1
2024,الحامة/الحامة غ,2101,1353,1588,52,Feuil1
2024,مطماطة القديمة,0,0,0,0,Feuil1
2024,مطماطة الجديدة,130,86,504,6,Feuil1
2024,مارث + دخيلة توجان,2712,1777,1558,68,Feuil1
2024,المجموع,7405,4730,9375,215,Feuil1
