annee,delegation,production_cereales_t,production_fourrages_t,production_legumes_t,production_legumineuses_t,feuille
2023,قابس المدينة,46,10211,15127,3,Feuil1
2023,قابس الغربية,54,12820,23322,6,Feuil1
2023,قابس الجنوبية,64,14997,56732,25,Feuil1
2023,غنوش,57,13116,34030,4,Feuil1
2023,المطوية/وذرف,48,16186,99340,7,Feuil1
2023,منزل الحبيب,0,215,7439,1,Feuil1
2023,الحامة/الحامة غ,242,56957,65435,26,Feuil1
2023,مطماطة القديمة,0,0,0,0,Feuil1
2023,مطماطة الجديدة,19,3796,20778,3,Feuil1
2023,مارث + دخيلة توجان,310,73022,64282,31,Feuil1
2023,المجموع,840,201320,386485,106,Feuil1
2024,قابس المدينة,3726,11402,16591,10,Feuil1
2024,قابس الغربية,4374,14316,25580,21,Feuil1
2024,قابس الجنوبية,5184,16747,62224,89,Feuil1
2024,غنوش,4617,14646,37324,14,Feuil1
2024,المطوية/وذرف,3888,18075,108957,24,Feuil1
2024,منزل الحبيب,0,240,8159,3,Feuil1
2024,الحامة/الحامة غ,19602,63603,71770,91,Feuil1
2024,مطماطة القديمة,0,0,0,0,Feuil1
2024,مطماطة الجديدة,1539,4239,22790,10,Feuil1
2024,مارث + دخيلة توجان,25110,81542,70505,108,Feuil1
2024,المجموع,68040,224810,423900,370,Feuil1
