annee,delegation,viandes_rouges,viandes_blanches,lait,miel,laine,cuir,œufs_million_unite,feuille
2023.0,الكاف الشرقية,830.0,138.225,10578.4,1.64,59.67,119.4,0.1425,Feuil1
2023.0,الكاف الغربية,299.0,,2456.0,2.5,27.7,47.7,,Feuil1
2023.0,الدهماني,677.0,,10288.6,2.7,57.9,104.4,,Feuil1
2023.0,تاجروين,514.0,,1862.7,7.99,57.2,90.0,,Feuil1
2023.0,السرس,823.0,,10288.6,0.58,60.5,119.2,3.420,Feuil1
2023.0,القصور,557.0,,3196.5,2.29,58.96,94.0,,Feuil1
2023.0,الجريصة,95.0,,184.0,0.916,11.37,17.2,,Feuil1
2023.0,قلعة سنان,401.0,,666.9,3.19,47.7,72.6,,Feuil1
2023.0,القلعة الخصباء,103.0,,115.0,2.74,14.7,18.9,,Feuil1
2023.0,نبـر,750.0,,14395.8,7.359,31.25,90.8,,Feuil1
2023.0,ساقية سيدي يوسف,300.0,,2074.3,2.41,28.0,48.6,,Feuil1
2023.0,الطويرف,279.0,,2778.0,2.125,24.0,42.9,,Feuil1
2023.0,كامل الولاية,5628.0,138.225,5533.0,36440.0,478.95,865.84,3.560,Feuil1
2024.0,الكاف الشرقية,671.0,138.222,6052.0,1.64,59.66,119.45,0.142,Feuil1
2024.0,الكاف الغربية,288.0,,2160.0,2.5,27.7,47.68,,Feuil1
2024.0,الدهماني,675.0,,6588.0,2.7,57.96,104.38,,Feuil1
2024.0,تاجروين,525.0,,2269.0,7.9,57.2,89.86,,Feuil1
2024.0,السرس,848.0,,10923.0,0.58,60.54,119.18,3.42,Feuil1
2024.0,القصور,568.0,,3569.0,2.29,58.95,94.1,,Feuil1
2024.0,الجريصة,93.0,,157.0,0.51,11.36,17.2,,Feuil1
2024.0,قلعة سنان,402.0,,788.0,3.11,47.7,72.6,,Feuil1
2024.0,القلعة الخصباء,105.0,,203.0,2.74,12.78,18.94,,Feuil1
2024.0,نبـر,830.0,,16413.0,7.36,31.25,90.86,,Feuil1
2024.0,ساقية سيدي يوسف,296.0,,2011.0,2.41,28.0,48.63,,Feuil1
2024.0,الطويرف,327.0,,4131.0,2.12,24.0,42.9,,Feuil1
2024.0,كامل الولاية,5628.0,138.222,55264.0,35.86,477.1,865.78,3.562,Feuil1
,,,,,,,,,Feuil1
,,,,,,,,(*): بدون احتساب دجاج الضيعة Sans tenir compte de l'élevage fermier,Feuil1
,,,,,,,,(**): باحتساب انتاج شركات التنمية والاحياء الفلاحية .,Feuil1
