variete,quantitee_par_tonnes,prix_min_marche_de_gros,prix_max_marche_de_gros,prix_min_marche_de_details,prix_max_marche_de_details,feuille
Pommes_de_terre,25,350,600,500,850,Feuil1
Oignon_sec,14,300,450,500,650,Feuil1
Piment_piquant,9,1600,2000,1800,2400,Feuil1
Piment_doux,3,1700,2200,2000,2600,Feuil1
Tomate,14,300,500,500,700,Feuil1
Thomson,14,1000,1300,1200,1500,Feuil1
Maltaise,6,400,600,500,700,Feuil1
Clementine,14,600,1800,800,2200,Feuil1
Pommes,12,1000,2500,1200,3200,Feuil1
Poires,2,2500,3500,3000,4000,Feuil1
Sardine,,,,2000,3000,Feuil1
Saurel,,,,3200,3800,Feuil1
Gazel,,,,5000,7000,Feuil1
Nazali,,,,3600,10600,Feuil1
Bouri,,,,6000,10000,Feuil1
Bœuf_sans_os,,,,16500,17400,Feuil1
Bœuf_avec_os,,,,14000,16000,Feuil1
Agnau,,,,18500,21000,Feuil1
Ovin_reforme,,,,11000,12000,Feuil1
Poulet,,,,5490,5490,Feuil1
Escaloppe,,,,9700,9800,Feuil1
Œufs,,,,500,550,Feuil1
