annee,delegation,nbre_huileries,capacite_huileries_t_j,feuille
2024,قابس المدينة,,,Feuil1
2024,قابس الجنوبية,2.0,70.0,Feuil1
2024,قابس الغربية,,,Feuil1
2024,غنوش,,,Feuil1
2024,المطوية,4.0,100.0,Feuil1
2024,منزل الحبيب,,,Feuil1
2024,الحامة,7.0,64.0,Feuil1
2024,مطماطة الجديدة,6.0,34.0,Feuil1
2024,مطماطة القديمة,9.0,4.0,Feuil1
2024,مارث,14.0,209.0,Feuil1
2024,دخيلة توجان,12.0,7.0,Feuil1
2024,المجموع,54.0,488.0,Feuil1
