annee,delegation,nbre_societes,total_adherents,feuille
2024,قابس المدينة,6.0,457.0,Feuil1
2024,قابس الجنوبية,3.0,68.0,Feuil1
2024,قابس الغربية,3.0,143.0,Feuil1
2024,غنوش,2.0,153.0,Feuil1
2024,المطوية,2.0,62.0,Feuil1
2024,منزل الحبيب,,,Feuil1
2024,الحامة,4.0,180.0,Feuil1
2024,مطماطة الجديدة,1.0,43.0,Feuil1
2024,مطماطة القديمة,,,Feuil1
2024,مارث,4.0,260.0,Feuil1
2024,دخيلة توجان,1.0,7.0,Feuil1
2024,المجموع,26.0,1373.0,Feuil1
