annee,delegation,nombre_de_huileries,capacite_de_transformation_t_24h,capacite_de_stockage_en_t,feuille
2021,زغوان,10,575,1400,Agric20
2021,الزريبة,5,435,2800,Agric20
2021,بئر مشارقة,3,230,1430,Agric20
2021,الفحص,9,580,790,Agric20
2021,الناظور,8,780,2880,Agric20
2021,صواف,0,0,0,Agric20
2021,المجمـوع,35,2600,9300,Agric20
2022,زغوان,10,575,1400,Agric20
2022,الزريبة,5,435,2800,Agric20
2022,بئر مشارقة,3,230,1430,Agric20
2022,الفحص,9,580,790,Agric20
2022,الناظور,8,780,2880,Agric20
2022,صواف,0,0,0,Agric20
2022,المجمـوع,35,2600,9300,Agric20
2023,زغوان,10,575,1400,Agric20
2023,الزريبة,5,435,2800,Agric20
2023,بئر مشارقة,3,230,1430,Agric20
2023,الفحص,9,580,790,Agric20
2023,الناظور,8,780,2880,Agric20
2023,صواف,0,0,0,Agric20
2023,المجمـوع,35,2600,9300,Agric20
2024,زغوان,10,570,1485,Agric20
2024,الزريبة,5,435,2795,Agric20
2024,بئر مشارقة,4,320,1440,Agric20
2024,الفحص,10,670,835,Agric20
2024,الناظور,8,780,2895,Agric20
2024,صواف,0,0,0,Agric20
2024,المجمـوع,37,2775,9450,Agric20
