annee,premier_trimestre,avril,mai,juin,juillet,aout,septembre,quatrieme_trimestre,feuille
2015,16500,9690,28900,23160.0,23310.0,22680.0,28110.0,38140.0,Feuil1
2016,3500,17540,13460,10390.0,17680.0,13230.0,22300.0,13250.0,Feuil1
2017,4270,15530,12410,15060.0,9300.0,20570.0,18330.0,18390.0,Feuil1
2018,1280,8290,8200,10120.0,1510.0,0.0,0.0,0.0,Feuil1
2019,0,17380,10480,10400.0,13050.0,10030.0,2100.0,11330.0,Feuil1
2020,3820,3510,6810,14860.0,15120.0,10000.0,2170.0,19540.0,Feuil1
2021,4330,2870,4220,11880.0,10480.0,6820.0,6990.0,12420.0,Feuil1
2022,770,2410,2800,7800.0,3960.0,6090.0,0.0,2040.0,Feuil1
2023,920,3240,0,0.0,4250.0,6300.0,6100.0,19320.0,Feuil1
2024,5030,6500,7200,,,,,,Feuil1
