annee,premier_trimestre,avril,mai,juin,juillet,aout,septembre,quatrieme_trimestre,feuille
2015,5267,8843,29168,18483.0,28765.0,15174.0,9820.0,11005.0,Feuil1
2016,10610,21385,30205,37470.0,40212.0,20605.0,14300.0,15867.0,Feuil1
2017,27104,20909,9648,17733.0,22624.0,26096.0,17543.0,22187.0,Feuil1
2018,19484,15228,14769,5044.0,15838.0,9445.0,5852.0,3684.0,Feuil1
2019,3165,7187,9833,26031.0,26853.0,10000.0,957.0,2261.0,Feuil1
2020,6667,5392,11440,23481.0,25513.0,15088.0,5398.0,14135.0,Feuil1
2021,12090,5362,9798,27001.0,34544.0,26244.0,16918.0,9319.0,Feuil1
2022,6027,4832,2918,16671.0,19004.0,21444.0,10928.0,10819.0,Feuil1
2023,14137,0,0,0.0,21164.0,19684.0,15988.0,13969.0,Feuil1
2024,0,1770,0,,,,,,Feuil1
