annee,ann_2001,ann_2002,ann_2003,ann_2004,ann_2005,ann_2006,ann_2007,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,ann_2017,ann_2018,ann_2019,feuille
janvier,250.7684755357865,210.95149504889105,205.4755525460455,296.8185825873044,233.55725989304813,,263.3799992619183,458.35759320583054,,,,,,,,,,0.0,0,Mat 1ère
fevrier,234.87,205.62745489889124,210.84924215027308,317.8488125,243.84,259.93,258.17,494.61700028185294,,,,406.43,,,,359.0,362.0,0.0,0,Mat 1ère
mars,240.50377552948112,207.33153918659792,220.53293982327278,349.0390035587189,247.41236290236142,232.5,298.0579200685091,480.89,364.8099572729407,,,,,612.0,,338.26,396.0,515.0,0,Mat 1ère
avril,221.91380191693287,207.4459826132708,219.09515640131707,343.15872619829287,269.54970039179534,226.89,286.639991480827,479.56117617577615,,,,,,609.94,,,,0.0,0,Mat 1ère
mai,197.7880020347333,203.26252487640846,224.0,382.92005361930296,269.1184454457415,234.72,273.67323915677787,463.42230581767427,415.9800014646465,,423.3699703772997,,,594.87,,338.35,367.0,475.5,0,Mat 1ère
juin,197.90997027830315,215.12107616331343,210.8676989033493,363.9461484900843,300.0,232.09,262.0,440.93722859723897,480.0,,425.7199992399871,,607.54,507.04,388.77,386.45,376.0,0.0,0,Mat 1ère
juillet,205.4706367141181,213.03993266353464,225.971305927991,348.588,276.7893535714286,235.66,318.75676218496477,,521.2133277777779,380.0,426.0799996801772,,592.45,580.83,,,,0.0,0,Mat 1ère
aout,209.99530766648593,216.30773688854595,227.68666666666667,320.52790874524715,250.51694363636366,233.35,308.18000004588856,496.8936850337898,465.0,403.24324883468574,,562.88,575.41,,,430.7,,411.24,0,Mat 1ère
septembre,215.22538132091066,210.0476882938391,246.99754162607888,286.43333333333334,264.90576285289745,240.0,306.9667543097584,496.89,,407.7091440480806,,681.43,,,409.02,409.4,,0.0,0,Mat 1ère
octobre,214.8602644252747,221.63265002849002,247.3816402883335,234.15,251.77583498826502,249.0,374.3901251313968,452.75000055276104,,,,658.86,,,391.03,385.71,,0.0,374,Mat 1ère
novembre,211.12176620375234,210.53252417750218,290.59,229.82,243.4369296969697,264.03,397.7129652129971,410.35,,,,601.2,,554.55,387.85,,,0.0,356,Mat 1ère
decembre,222.630625,201.69723915433596,276.1392601244328,,,,,377.6925370603559,470.8135475665262,,,,,532.29,,,,0.0,351,Mat 1ère
