annee,type,export_qte_t,feuille
2019,O_Maltaise,12998.1,Eport-type-tonnes
2019,Clémentine,443.1,Eport-type-tonnes
2019,Citron,165.7,Eport-type-tonnes
2019,Thomson,132.6,Eport-type-tonnes
2019,O_Douce,64.1,Eport-type-tonnes
2019,Orange Bio,127.1,Eport-type-tonnes
2019,Mandarine,77.0,Eport-type-tonnes
2019,Valencia,223.7,Eport-type-tonnes
2020,O_Maltaise,8555.7,Eport-type-tonnes
2020,Clémentine,188.561,Eport-type-tonnes
2020,Citron,760.693,Eport-type-tonnes
2020,Thomson,587.653,Eport-type-tonnes
2020,O_Douce,258.966,Eport-type-tonnes
2020,Orange Bio,39.5,Eport-type-tonnes
2020,Mandarine,2.152,Eport-type-tonnes
2020,Valencia,48.8,Eport-type-tonnes
2021,O_Maltaise,15653.320000000002,Eport-type-tonnes
2021,Clémentine,159.2,Eport-type-tonnes
2021,Citron,,Eport-type-tonnes
2021,Thomson,1453.0999999999997,Eport-type-tonnes
2021,O_Douce,51.400000000000006,Eport-type-tonnes
2021,Orange Bio,42.6,Eport-type-tonnes
2021,Mandarine,8.9,Eport-type-tonnes
2021,Valencia,495.6,Eport-type-tonnes
2022,O_Maltaise,11802.7,Eport-type-tonnes
2022,Clémentine,89.82600000000002,Eport-type-tonnes
2022,Citron,61.6,Eport-type-tonnes
2022,Thomson,1295.812,Eport-type-tonnes
2022,O_Douce,44.0,Eport-type-tonnes
2022,Orange Bio,31.2,Eport-type-tonnes
2022,Mandarine,1.5,Eport-type-tonnes
2022,Valencia,111.6,Eport-type-tonnes
2023,O_Maltaise,7151.7,Eport-type-tonnes
2023,Clémentine,98.3,Eport-type-tonnes
2023,Citron,12.19,Eport-type-tonnes
2023,Thomson,261.537,Eport-type-tonnes
2023,O_Douce,8.591000000000001,Eport-type-tonnes
2023,Orange Bio,78.8,Eport-type-tonnes
2023,Mandarine,7.458,Eport-type-tonnes
2023,Valencia,,Eport-type-tonnes
2024,O_Maltaise,7985.83,Eport-type-tonnes
2024,Clémentine,144.20000000000002,Eport-type-tonnes
2024,Citron,0.8190000000000001,Eport-type-tonnes
2024,Thomson,83.42600000000002,Eport-type-tonnes
2024,O_Douce,50.938,Eport-type-tonnes
2024,Orange Bio,73.3,Eport-type-tonnes
2024,Mandarine,2.25,Eport-type-tonnes
2024,Valencia,145.83,Eport-type-tonnes
2025,O_Maltaise,5612.1,Eport-type-tonnes
2025,Clémentine,160.0,Eport-type-tonnes
2025,Citron,1445.04,Eport-type-tonnes
2025,Thomson,3741.0,Eport-type-tonnes
2025,O_Douce,32.0,Eport-type-tonnes
2025,Orange Bio,104.0,Eport-type-tonnes
2025,Mandarine,8.0,Eport-type-tonnes
2025,Valencia,0.0,Eport-type-tonnes
