delegaion,superficie_des_terres_labourables_ha,superficie_des_parcours_ha,superficie_des_forets_ha,superficie_des_lacs_ha,superficie_non_cultivable_ha,total_ha,feuille
بنزرت الشمالية,700.0,440.0,1334.0,9.0,2172.0,4655,Feuil1
بنزرت الجنوبية,21669.0,2280.0,14647.0,671.0,1540.0,40807,Feuil1
جرزونة,8.0,30.0,10.0,,574.0,622,Feuil1
منزل جميل,4000.0,304.0,3527.0,,900.0,8731,Feuil1
منزل بورقيبة,9600.0,400.0,7.0,35.0,1425.0,11467,Feuil1
تينجة,2706.0,540.0,2237.0,8515.0,490.0,14488,Feuil1
ماطر,42019.0,2260.0,8646.0,337.0,1750.0,55012,Feuil1
غزالة,25835.0,2370.0,13172.0,1606.0,2513.0,45496,Feuil1
جومين,42130.0,2530.0,8857.0,,1000.0,54517,Feuil1
سجنان,5000.0,10142.0,40021.0,,4700.0,59863,Feuil1
العالية,6800.0,85.0,820.0,,207.0,7912,Feuil1
رأس الجبل,6687.0,330.0,1281.0,,148.0,8446,Feuil1
غار الملح,7159.0,50.0,1621.0,3894.0,254.0,12978,Feuil1
أوتيك,33280.0,450.0,2955.0,18.0,910.0,37613,Feuil1
بحيرة بنزرت,,,,12215.0,,12215,Feuil1
كامل الولاية,207593.0,22211.0,99135.0,27300.0,18583.0,374822,Feuil1
