delegation,gda_eau_potable,gda_mixte,gda_irrigation,gda_irrig_complement,feuille
السند,12,0,5,0,Feuil1
زانوش,10,1,5,0,Feuil1
سيدي عيش,12,3,5,2,Feuil1
قفصة الجنوبية,16,0,3,1,Feuil1
قفصة الشمالية,7,2,4,5,Feuil1
القصر,2,0,3,2,Feuil1
القطار,2,0,5,1,Feuil1
بلخير,10,0,3,6,Feuil1
المتلوي,0,0,5,2,Feuil1
أم العرائس,8,2,13,1,Feuil1
سيدي بوبكر,1,1,3,1,Feuil1
الرديف,0,0,12,1,Feuil1
المظيلة,1,0,0,0,Feuil1
