المعتمديـــة,العـــــدد,الطاقـــــة_طن,خزن_الزيت_طن,delegation
جندوبــــــــــــــــة,2.0,48.0,120,Jendouba
جندوبة الشمالية,1.0,40.0,80,Jendouba Nord
بوسالـــــــــــــــم,3.0,171.0,500,bousalem
بلطــــة بوعـــوان,2.0,155.0,200,Baltabouauen
طبرقـــــــــــــــــة,,,,Tabarka
عيــــن دراهـــــم,1.0,1.0,,Aïn Draham
فرنانــــــــــــــــــة,,,,Fernana
غـــــار الدّمـــــــاء,1.0,45.0,20,Ghardimaou
وادي مليـــــــــــز,1.0,40.0,120,Oued Mliz
عيـــن دراهـــــــم,11.0,500.0,"1,04",Total Gouvernorat
