date,prime_du_transport_millime_par_litre,prix_minimum_a_la_productio_millime_par_litre,feuille
2007-11,40.0,450,Feuil1
2008-01,40.0,500,Feuil1
2008-11,40.0,550,Feuil1
2010-01,40.0,580,Feuil1
2012-10,60.0,700,Feuil1
2014-10,70.0,733,Feuil1
2015-01,70.0,736,Feuil1
2017-04,70.0,766,Feuil1
2018-07,90.0,890,Feuil1
2019-04,105.0,945,Feuil1
2020-07,95.0,1040,Feuil1
2021-04,100.0,1140,Feuil1
2022-11,200.0,1340,Feuil1
2023-,,1340,Feuil1
2024_,,1340,Feuil1
2025-,,1340,Feuil1
