annee,delegation,groupement_deau_potable,groupement_dirrigation,groupements_mixte,groupement_equipes_temporairement,nombre_total_de_groupements,feuille
2023,القصرين.ش,0,2,0,1,3,GDA
2023,القصرين.ج,15,19,12,16,62,GDA
2023,حاسي الفريد,6,3,4,2,15,GDA
2023,سبيطلة,24,7,5,4,40,GDA
2023,سبيبة,10,7,3,4,24,GDA
2023,جدليان,6,7,1,2,16,GDA
2023,العيون,7,5,4,3,19,GDA
2023,تالة,10,4,3,2,19,GDA
2023,حيدرة,3,1,3,1,8,GDA
2023,فوسانة,22,13,3,7,45,GDA
2023,فريانة,14,17,1,12,44,GDA
2023,ماجل بلعباس,28,8,7,10,53,GDA
2023,مجموع الولاية,145,93,46,64,348,GDA
2024,القصرين.ش,0,2,0,1,3,GDA
2024,القصرين.ج,16,21,12,14,63,GDA
2024,حاسي الفريد,6,3,4,3,16,GDA
2024,سبيطلة,25,7,5,3,40,GDA
2024,سبيبة,11,7,3,4,25,GDA
2024,جدليان,6,7,1,2,16,GDA
2024,العيون,7,6,4,2,19,GDA
2024,تالة,10,4,3,2,19,GDA
2024,حيدرة,3,1,3,1,8,GDA
2024,فوسانة,22,13,3,7,45,GDA
2024,فريانة,14,17,1,12,44,GDA
2024,ماجل بلعباس,28,8,8,9,53,GDA
2024,مجموع الولاية,148,96,47,60,351,GDA
