annee,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,feuille
Poissons frais et congelés,35409,34192,39945.0,38938.0,33778.0,28787.0,29213.0,22938.0,26150.0,18583.0,21427.0,23384.0,41209.0,61908.0,54378.0,Feuil1
Crustacés,179,444,432.0,952.0,1414.0,999.0,768.0,235.0,63.0,53.0,121.0,76.0,277.0,101.0,89.0,Feuil1
"Céphalopodes (seiches, poulpes)",872,1127,2455.0,888.0,989.0,705.0,1145.0,976.0,1209.0,1435.0,912.0,1297.0,1240.0,1491.0,605.0,Feuil1
Coquillages,0,0,,,,,,,,,,,,,,Feuil1
Conserves et semi conserves,2669,3300,3790.0,6005.0,9272.0,12972.0,15739.0,12761.0,12028.0,6811.0,9061.0,4740.0,2171.0,3147.0,3538.0,Feuil1
Coraux,1,0,,,,,,,,,,,,,,Feuil1
Eponges,0,0,,,,,,,,,,,,,,Feuil1
Divers,1,1,,,6.0,1.0,212.0,371.0,7.0,1.0,1.0,1.0,1.0,15.0,13.0,Feuil1
Total,39131,39064,46622.0,46783.0,45459.0,43464.0,47077.0,37281.0,39457.0,26883.0,31522.0,29498.0,44898.0,66661.0,58623.0,Feuil1
