annee,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,feuille
Pêche côtière,5706,6062,6158,5854,5385,5424,6055,6710,7471,7863,8988,10386,9024,9454.0,Feuil1
Pêche au chalut de fond,4586,4657,4796,4945,4976,4750,5170,5904,6797,7620,9944,11213,11655,16822.0,Feuil1
Pêche au chalut pélagique,1214,1365,1240,1484,1593,2381,2025,2469,2118,2739,2614,0,0,,Feuil1
Pêche poisson bleu,1140,1466,1498,1609,1664,1959,2046,2243,2500,2507,3609,4931,4368,4301.0,Feuil1
Pêche aux Thons,3683,4133,6743,6763,6458,5481,11708,19237,18282,28300,30002,30000,30000,48008.0,Feuil1
Aquaculture,8801,7402,5751,6964,7906,7738,7653,8488,8711,10929,10479,11182,14105,14333.0,Feuil1
Pêche lagunaire,5928,6803,8458,8455,7099,6927,7689,7759,9471,9300,9387,11606,12437,14636.0,Feuil1
Prix moyen global,3372,3571,3597,3895,3760,3963,4420,5032,5594,6547,7790,9116,9192,10539.0,Feuil1
