annee,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,feuille
Poissons frais et congelés,5973,6355,7355.0,5443.0,3835.0,4485.0,3851.0,4644.0,3781.0,4931.0,5560.0,5761.0,9495.0,9575.0,8528.0,Feuil1
Crustacés,4394,3114,3386.0,2853.0,2942.0,3350.0,2690.0,3290.0,3734.0,4258.0,4236.0,4068.0,7277.0,6407.0,6555.0,Feuil1
"Mollusques (seiches, poulpes)",7430,9065,7225.0,6548.0,9189.0,12883.0,9746.0,6575.0,7552.0,6033.0,5778.0,6818.0,4920.0,6104.0,3069.0,Feuil1
Coquillages,85,105,144.0,,,,,,,,,,,,,Feuil1
Conserves et semi conserves,4182,5249,3360.0,4422.0,5907.0,9743.0,8879.0,6841.0,5980.0,5526.0,5264.0,3611.0,4951.0,6187.0,5482.0,Feuil1
Coraux,9,14,,19.0,35.0,58.0,45.0,8.0,7.0,11.0,8.0,6.0,5.0,4.0,1.0,Feuil1
Eponges,29,12,,,,,24.0,24.0,28.0,22.0,35.0,35.0,20.0,7.0,7.0,Feuil1
Divers,105,398,21.0,,,,48.0,60.0,1.0,1.0,1.0,3.0,1.0,1.0,24.0,Feuil1
Total,22207,24312,21491.0,19285.0,21908.0,30519.0,25283.0,21442.0,21083.0,20782.0,20882.0,20302.0,26983.0,27971.0,23666.0,Feuil1
