annee,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,feuille
Poissons frais et congelés,86680,88891,109300.0,72900.0,53851.0,65001.0,59360.0,91300.0,65914.0,82310.0,72315.0,118510.0,173143.0,170733.0,176365.0,Feuil1
Crustacés,74269,56982,60552.0,51300.0,53245.0,58280.0,47148.0,70300.0,80931.0,101867.0,117740.0,109463.0,136494.0,164580.0,146585.0,Feuil1
"Mollusques (seiches, poulpes)",44818,60375,51800.0,43600.0,70000.0,122906.0,99853.0,56900.0,77647.0,63012.0,71427.0,118337.0,139970.0,110196.0,66220.0,Feuil1
Coquillages,805,1115,1448.0,,,,,,,,,,,,,Feuil1
Conserves et semi conserves,20058,27204,24300.0,33400.0,40285.0,63415.0,64503.0,53300.0,55977.0,52718.0,56244.0,47656.0,68896.0,107014.0,93357.0,Feuil1
Coraux,1455,2443,,4100.0,8830.0,17129.0,18101.0,9827.0,16678.0,24216.0,18376.0,11816.0,5491.0,3358.0,554.0,Feuil1
Eponges,5063,2342,,,,,2895.0,2751.0,3484.0,2283.0,3700.0,4499.0,3324.0,1624.0,2584.0,Feuil1
Divers,971,1162,3000.0,,,,384.0,622.0,54.0,69.0,75.0,115.0,81.0,120.0,573.0,Feuil1
Total,234119,240514,250400.0,205300.0,226211.0,326731.0,292244.0,285000.0,300685.0,326475.0,339877.0,410396.0,527399.0,557625.0,486238.0,Feuil1
