annee,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,feuille
Poissons frais et congelés,54486,54536,71900.0,73000.0,71765.0,73541.0,69923.0,64562.0,90312.0,75219.0,103057.0,126069.0,215176.0,289053.0,219675.0,Feuil1
Crustacés,690,1540,1900.0,4200.0,6752.0,5065.0,5068.0,1963.0,879.0,1523.0,1636.0,1578.0,3792.0,1784.0,1684.0,Feuil1
"Céphalopodes (seiches, poulpes)",1800,2080,6200.0,2100.0,2484.0,2431.0,3929.0,2918.0,3957.0,6513.0,4653.0,6250.0,8879.0,7959.0,2776.0,Feuil1
Coquillages,0,0,,,,,,,,,,,,,,Feuil1
Conserves et semi conserves,6740,9307,7100.0,10400.0,14230.0,22341.0,29814.0,25880.0,32955.0,27422.0,37662.0,25859.0,20485.0,31533.0,31943.0,Feuil1
Coraux,53,0,,,,,,,,,,,,,,Feuil1
Eponges,1,0,,,,,,,,,,,,,,Feuil1
Divers,23,30,,,101.0,56.0,19349.0,26267.0,18.0,7.0,7.0,150.0,295.0,382.0,310.0,Feuil1
Total,63793,67493,87100.0,89700.0,95332.0,103434.0,128083.0,121590.0,128121.0,110684.0,147015.0,159906.0,248627.0,330711.0,256388.0,Feuil1
