السنة,النوع,الكمية_بالطن,feuille
2018,زيتون طاولة,1700,Feuil1
2018,زيتون زيت,11000,Feuil1
2018,لوز,4300,Feuil1
2018,قوا رص,5120,Feuil1
2018,تفاح,9600,Feuil1
2018,إجاص,3300,Feuil1
2018,رمان,3500,Feuil1
2018,خوخ,28000,Feuil1
2018,عنب طاولة,8600,Feuil1
2018,عنب نبيذ,700,Feuil1
2018,مشمش,480,Feuil1
2018,عوينة,1950,Feuil1
2018,أشجار مثمرة أخرى,1070,Feuil1
2019,زيتون طاولة,1400,Feuil1
2019,زيتون زيت,6000,Feuil1
2019,لوز,4000,Feuil1
2019,قوا رص,6000,Feuil1
2019,تفاح,11800,Feuil1
2019,إجاص,12000,Feuil1
2019,رمان,3500,Feuil1
2019,خوخ,27000,Feuil1
2019,عنب طاولة,11100,Feuil1
2019,عنب نبيذ,800,Feuil1
2019,مشمش,410,Feuil1
2019,عوينة,2030,Feuil1
2019,أشجار مثمرة أخرى,1120,Feuil1
2020,زيتون طاولة,1600,Feuil1
2020,زيتون زيت,15000,Feuil1
2020,لوز,4376,Feuil1
2020,قوا رص,4900,Feuil1
2020,تفاح,7000,Feuil1
2020,إجاص,1500,Feuil1
2020,رمان,3540,Feuil1
2020,خوخ,26900,Feuil1
2020,عنب طاولة,12000,Feuil1
2020,عنب نبيذ,2070,Feuil1
2020,مشمش,450,Feuil1
2020,عوينة,2574,Feuil1
2020,أشجار مثمرة أخرى,1175,Feuil1
2021,زيتون طاولة,800,Feuil1
2021,زيتون زيت,4000,Feuil1
2021,لوز,4300,Feuil1
2021,قوا رص,4800,Feuil1
2021,تفاح,11500,Feuil1
2021,إجاص,3300,Feuil1
2021,رمان,4160,Feuil1
2021,خوخ,28200,Feuil1
2021,عنب طاولة,12420,Feuil1
2021,عنب نبيذ,2364,Feuil1
2021,مشمش,372,Feuil1
2021,عوينة,2340,Feuil1
2021,أشجار مثمرة أخرى,1190,Feuil1
2022,زيتون طاولة,1188,Feuil1
2022,زيتون زيت,10000,Feuil1
2022,لوز,4580,Feuil1
2022,قوا رص,3600,Feuil1
2022,تفاح,14251,Feuil1
2022,إجاص,7490,Feuil1
2022,رمان,4580,Feuil1
2022,خوخ,27000,Feuil1
2022,عنب طاولة,13640,Feuil1
2022,عنب نبيذ,2493,Feuil1
2022,مشمش,414,Feuil1
2022,عوينة,2925,Feuil1
2022,أشجار مثمرة أخرى,3641,Feuil1
