unnamed_0,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,feuille
زيتون الزيت,800.0,750.0,600.0,900.0,1100.0,400.0,1700.0,700.0,500.0,1617.0,Feuil1
القوارص,296.9,307.9,352.0,360.0,330.0,355.0,400.0,380.0,560.0,346.0,Feuil1
عنب النبيذ,36.0,32.0,33.6,32.0,36.0,37.5,33.5,33.5,30.5,32.0,Feuil1
عنب المائدة,97.0,97.0,114.0,115.0,132.0,137.0,150.3,133.5,146.6,154.0,Feuil1
لوز جاف,60.0,52.0,61.0,70.0,52.0,66.7,70.5,61.0,67.0,68.0,Feuil1
مشمش,30.0,23.5,30.0,33.5,29.5,29.0,32.5,31.0,30.5,36.0,Feuil1
التمور,162.0,174.0,190.0,193.0,195.0,199.0,223.0,241.0,260.0,305.0,Feuil1
غلال اخرى,431.9,451.4,454.4,445.2,431.4,540.5,414.8,415.0,282.3,438.7,Feuil1
