annee,culture,productivite_t_ha,feuille
2004,Pomme_de_terre,16.4,Prouctivite_T_ha
2004,Tomate,37.6,Prouctivite_T_ha
2004,Artichaut,6.7,Prouctivite_T_ha
2004,Piment,13.0,Prouctivite_T_ha
2004,Oignon,19.3,Prouctivite_T_ha
2004,Pasteque _Melon,28.0,Prouctivite_T_ha
2005,Pomme_de_terre,12.5,Prouctivite_T_ha
2005,Tomate,36.1,Prouctivite_T_ha
2005,Artichaut,5.5,Prouctivite_T_ha
2005,Piment,12.2,Prouctivite_T_ha
2005,Oignon,18.5,Prouctivite_T_ha
2005,Pasteque _Melon,26.9,Prouctivite_T_ha
2006,Pomme_de_terre,14.5,Prouctivite_T_ha
2006,Tomate,37.0,Prouctivite_T_ha
2006,Artichaut,5.5,Prouctivite_T_ha
2006,Piment,12.6,Prouctivite_T_ha
2006,Oignon,16.6,Prouctivite_T_ha
2006,Pasteque _Melon,34.3,Prouctivite_T_ha
2007,Pomme_de_terre,14.2,Prouctivite_T_ha
2007,Tomate,42.0,Prouctivite_T_ha
2007,Artichaut,8.0,Prouctivite_T_ha
2007,Piment,14.9,Prouctivite_T_ha
2007,Oignon,25.5,Prouctivite_T_ha
2007,Pasteque _Melon,23.1,Prouctivite_T_ha
2008,Pomme_de_terre,14.9,Prouctivite_T_ha
2008,Tomate,45.8,Prouctivite_T_ha
2008,Artichaut,8.2,Prouctivite_T_ha
2008,Piment,14.8,Prouctivite_T_ha
2008,Oignon,22.7,Prouctivite_T_ha
2008,Pasteque _Melon,24.7,Prouctivite_T_ha
2009,Pomme_de_terre,14.4,Prouctivite_T_ha
2009,Tomate,41.12,Prouctivite_T_ha
2009,Artichaut,7.4,Prouctivite_T_ha
2009,Piment,14.9,Prouctivite_T_ha
2009,Oignon,24.1,Prouctivite_T_ha
2009,Pasteque _Melon,26.5,Prouctivite_T_ha
2010,Pomme_de_terre,16.5,Prouctivite_T_ha
2010,Tomate,39.27,Prouctivite_T_ha
2010,Artichaut,7.78,Prouctivite_T_ha
2010,Piment,15.67,Prouctivite_T_ha
2010,Oignon,21.81,Prouctivite_T_ha
2010,Pasteque _Melon,31.52,Prouctivite_T_ha
2011,Pomme_de_terre,14.9,Prouctivite_T_ha
2011,Tomate,39.81,Prouctivite_T_ha
2011,Artichaut,7.76,Prouctivite_T_ha
2011,Piment,14.83,Prouctivite_T_ha
2011,Oignon,21.6,Prouctivite_T_ha
2011,Pasteque _Melon,30.32,Prouctivite_T_ha
2012,Pomme_de_terre,15.0,Prouctivite_T_ha
2012,Tomate,38.06,Prouctivite_T_ha
2012,Artichaut,6.67,Prouctivite_T_ha
2012,Piment,16.84,Prouctivite_T_ha
2012,Oignon,22.91,Prouctivite_T_ha
2012,Pasteque _Melon,33.42,Prouctivite_T_ha
2013,Pomme_de_terre,15.86,Prouctivite_T_ha
2013,Tomate,43.4,Prouctivite_T_ha
2013,Artichaut,7.45,Prouctivite_T_ha
2013,Piment,18.12,Prouctivite_T_ha
2013,Oignon,23.47,Prouctivite_T_ha
2013,Pasteque _Melon,36.79,Prouctivite_T_ha
2014,Pomme_de_terre,16.04,Prouctivite_T_ha
2014,Tomate,46.3,Prouctivite_T_ha
2014,Artichaut,7.6,Prouctivite_T_ha
2014,Piment,20.54,Prouctivite_T_ha
2014,Oignon,23.64,Prouctivite_T_ha
2014,Pasteque _Melon,33.55,Prouctivite_T_ha
2015,Pomme_de_terre,17.22,Prouctivite_T_ha
2015,Tomate,57.7,Prouctivite_T_ha
2015,Artichaut,9.98,Prouctivite_T_ha
2015,Piment,22.26,Prouctivite_T_ha
2015,Oignon,30.09,Prouctivite_T_ha
2015,Pasteque _Melon,36.01,Prouctivite_T_ha
2016,Pomme_de_terre,17.72,Prouctivite_T_ha
2016,Tomate,85.81,Prouctivite_T_ha
2016,Artichaut,9.47,Prouctivite_T_ha
2016,Piment,25.28,Prouctivite_T_ha
2016,Oignon,30.37,Prouctivite_T_ha
2016,Pasteque _Melon,37.17,Prouctivite_T_ha
2017,Pomme_de_terre,17.0,Prouctivite_T_ha
2017,Tomate,61.29,Prouctivite_T_ha
2017,Artichaut,11.11,Prouctivite_T_ha
2017,Piment,23.75,Prouctivite_T_ha
2017,Oignon,30.62,Prouctivite_T_ha
2017,Pasteque _Melon,34.75,Prouctivite_T_ha
2018,Pomme_de_terre,19.41,Prouctivite_T_ha
2018,Tomate,60.97,Prouctivite_T_ha
2018,Artichaut,9.95,Prouctivite_T_ha
2018,Piment,22.85,Prouctivite_T_ha
2018,Oignon,30.78,Prouctivite_T_ha
2018,Pasteque _Melon,38.89,Prouctivite_T_ha
2019,Pomme_de_terre,20.35,Prouctivite_T_ha
2019,Tomate,64.89,Prouctivite_T_ha
2019,Artichaut,10.1,Prouctivite_T_ha
2019,Piment,22.7,Prouctivite_T_ha
2019,Oignon,28.67,Prouctivite_T_ha
2019,Pasteque _Melon,36.7,Prouctivite_T_ha
2020,Pomme_de_terre,20.66,Prouctivite_T_ha
2020,Tomate,68.41,Prouctivite_T_ha
2020,Artichaut,9.97,Prouctivite_T_ha
2020,Piment,24.19,Prouctivite_T_ha
2020,Oignon,28.67,Prouctivite_T_ha
2020,Pasteque _Melon,38.09,Prouctivite_T_ha
2021,Pomme_de_terre,18.54,Prouctivite_T_ha
2021,Tomate,64.52,Prouctivite_T_ha
2021,Artichaut,10.34,Prouctivite_T_ha
2021,Piment,23.7,Prouctivite_T_ha
2021,Oignon,25.25,Prouctivite_T_ha
2021,Pasteque _Melon,36.8,Prouctivite_T_ha
2022,Pomme_de_terre,20.77,Prouctivite_T_ha
2022,Tomate,63.3,Prouctivite_T_ha
2022,Artichaut,10.04,Prouctivite_T_ha
2022,Piment,23.8,Prouctivite_T_ha
2022,Oignon,28.54,Prouctivite_T_ha
2022,Pasteque _Melon,37.12,Prouctivite_T_ha
2023,Pomme_de_terre,21.23,Prouctivite_T_ha
2023,Tomate,65.32,Prouctivite_T_ha
2023,Artichaut,8.51,Prouctivite_T_ha
2023,Piment,22.03,Prouctivite_T_ha
2023,Oignon,33.34,Prouctivite_T_ha
2023,Pasteque _Melon,40.06,Prouctivite_T_ha
2024,Pomme_de_terre,21.05,Prouctivite_T_ha
2024,Tomate,58.82,Prouctivite_T_ha
2024,Artichaut,8.64,Prouctivite_T_ha
2024,Piment,22.5,Prouctivite_T_ha
2024,Oignon,33.33,Prouctivite_T_ha
2024,Pasteque _Melon,33.33,Prouctivite_T_ha
2025,Pomme_de_terre,20.0,Prouctivite_T_ha
2025,Tomate,67.0,Prouctivite_T_ha
2025,Artichaut,11.0,Prouctivite_T_ha
2025,Piment,21.0,Prouctivite_T_ha
2025,Oignon,33.0,Prouctivite_T_ha
2025,Pasteque _Melon,36.0,Prouctivite_T_ha
