المعتمدية,المعدل_السنوي_مم,كمية_الامطار_المسجلة_مم,النسبة_المايوية,feuille
صفاقس المدينة,241.1,92.2,38.241393612608874,Feuil1
عقارب,205.0,110.0,53.65853658536585,Feuil1
بئر علي,186.1,158.0,84.90059108006449,Feuil1
المحرس,197.9,83.0,41.94037392622536,Feuil1
الغريبة,154.3,89.5,58.003888528839916,Feuil1
الصخيرة,175.0,77.0,44.0,Feuil1
قرقنة (الرملة),243.8,138.0,56.60377358490566,Feuil1
العامرة,215.6,169.5,78.61781076066791,Feuil1
منزل شاكر,193.5,143.5,74.16020671834626,Feuil1
جبناينة,232.0,113.0,48.706896551724135,Feuil1
الحنشة,278.7,155.0,55.61535701471116,Feuil1
ساقية الزيت,213.7,88.2,41.272812353766966,Feuil1
ساقية الدائر,213.7,102.5,47.964436125409456,Feuil1
طينة,202.1,96.0,47.5012370113805,Feuil1
صفاقس الجنوبية (المطار),241.1,103.9,43.09415180423061,Feuil1
