inv_declare,nbr_adi,nbr_emploi_pervu,mois,gouvernorat,feuille
2430315,11,75,3,بن عروس,SQL Results
945449,7,16,11,تــونس,SQL Results
15892878,30,73,11,بنزرت,SQL Results
1787950,29,30,10,المهدية,SQL Results
2517182,15,37,9,مدنين,SQL Results
1783300,23,31,10,القيروان,SQL Results
1687251,27,16,9,زغوان,SQL Results
869872,5,12,10,توزر,SQL Results
1443761,16,0,10,زغوان,SQL Results
13635870,21,52,3,منــوبة,SQL Results
3028116,17,32,5,منــوبة,SQL Results
7278882,8,12,3,زغوان,SQL Results
241235,10,11,7,الكاف,SQL Results
316000,2,6,4,تــونس,SQL Results
1125808,8,20,1,أريانة,SQL Results
32826,1,1,2,أريانة,SQL Results
155676,2,3,8,أريانة,SQL Results
554054,4,10,9,أريانة,SQL Results
9211333,139,117,1,سيدي بوزيد,SQL Results
5226151,29,54,2,الكاف,SQL Results
1719552,33,7,4,سليانة,SQL Results
880101,21,19,4,جندوبة,SQL Results
4133859,18,23,7,باجة,SQL Results
1878000,30,12,3,سليانة,SQL Results
3324029,33,61,8,سيدي بوزيد,SQL Results
3958127,93,82,7,القصرين,SQL Results
1086412,15,19,12,مدنين,SQL Results
4080784,11,12,7,قفصة,SQL Results
857441,12,16,8,مدنين,SQL Results
697790,7,6,12,قبلي,SQL Results
2062560,25,43,12,القيروان,SQL Results
1456173,16,15,4,بن عروس,SQL Results
1382366,14,73,2,بن عروس,SQL Results
8185496,21,26,2,منــوبة,SQL Results
1988506,31,59,2,القيروان,SQL Results
3648000,30,40,2,المهدية,SQL Results
304272,5,4,2,قبلي,SQL Results
391141,7,5,3,قبلي,SQL Results
13788900,30,41,11,القيروان,SQL Results
7587500,24,59,12,المهدية,SQL Results
4508634,22,15,11,جندوبة,SQL Results
3791921,98,67,9,القصرين,SQL Results
682948,10,18,5,باجة,SQL Results
681173,4,8,7,تــونس,SQL Results
1352452,17,20,3,قفصة,SQL Results
990139,5,18,4,أريانة,SQL Results
634948,9,9,2,تطاوين,SQL Results
535300,10,7,1,المنستير,SQL Results
1519227,15,21,7,مدنين,SQL Results
238752,8,5,12,منــوبة,SQL Results
516800,7,4,11,المنستير,SQL Results
51486910,29,54,2,باجة,SQL Results
7134204,13,78,6,بن عروس,SQL Results
1924022,18,35,5,قفصة,SQL Results
1293951,31,35,6,الكاف,SQL Results
2028236,16,29,7,بنزرت,SQL Results
1619548,33,24,9,بنزرت,SQL Results
2594854,20,21,8,باجة,SQL Results
468143,11,8,6,مدنين,SQL Results
938398,8,15,8,تطاوين,SQL Results
860910,4,0,7,زغوان,SQL Results
2342000,17,31,8,المهدية,SQL Results
1085051,14,7,5,قابس,SQL Results
510500,10,12,4,سوسة,SQL Results
2528600,19,37,6,المنستير,SQL Results
633288,13,14,8,القيروان,SQL Results
1841523,26,27,1,بنزرت,SQL Results
1396000,16,18,8,سليانة,SQL Results
8447437,38,52,2,بنزرت,SQL Results
3484221,29,32,3,بنزرت,SQL Results
434880,6,3,2,سوسة,SQL Results
1000000,24,0,3,القيروان,SQL Results
3664669,30,73,4,صفاقس,SQL Results
1224550,22,6,11,سليانة,SQL Results
3354771,14,21,11,نابل,SQL Results
535000,6,3,9,سوسة,SQL Results
3577498,66,76,10,نابل,SQL Results
1086306,16,12,12,جندوبة,SQL Results
5608804,41,42,9,سيدي بوزيد,SQL Results
420711,4,12,10,تــونس,SQL Results
565942,11,6,9,منــوبة,SQL Results
5805960,12,19,11,منــوبة,SQL Results
843969,8,4,8,توزر,SQL Results
11982535,27,47,4,بنزرت,SQL Results
4120531,20,35,12,بنزرت,SQL Results
6023,1,0,9,توزر,SQL Results
113774,3,3,3,تــونس,SQL Results
