annee,production,feuille
1993,281.0,Feuil1
1994,192.8,Feuil1
1995,218.3,Feuil1
1996,221.0,Feuil1
1997,211.0,Feuil1
1998,229.2,Feuil1
1999,210.5,Feuil1
2000,225.5,Feuil1
2001,240.0,Feuil1
2002,240.0,Feuil1
2003,224.0,Feuil1
2004,209.0,Feuil1
2005,243.0,Feuil1
2006,262.0,Feuil1
2007,247.0,Feuil1
2008,300.0,Feuil1
2009,300.0,Feuil1
2010,308.0,Feuil1
2011,352.0,Feuil1
2012,360.0,Feuil1
2013,330.0,Feuil1
2014,355.0,Feuil1
2015,430.0,Feuil1
2016,380.0,Feuil1
2017,560.0,Feuil1
2018,346.0,Feuil1
2019,440.7,Feuil1
2020,366.0,Feuil1
2021,441.0,Feuil1
2022,345.3,Feuil1
2023,290.0,Feuil1
2024,365.0,Feuil1
2025,384.0,Feuil1
2026,376.0,Feuil1
