المعتمدية,زيتون_زيت,زيتون_طاولة,لوز,فستق,مشمش,خوخ,عوينة,تفاح,اجاص,تين,رمان,قوارص,عنب,المجموع,feuille
بوزيد الغربية,15898,262,1115,238,174,78,5,61,7,64,119,7.5,2,18031,Feuil1
بوزيد الشرقية,36455,39,4580,221,11,20,0,3,0,20,32,25.0,4,41410,Feuil1
المكناسي,24845,30,1582,350,3,80,1,15,0,0,10,4.5,14,26935,Feuil1
الرقاب,33065,40,3825,68,40,425,55,6,0,100,42,276.0,780,38722,Feuil1
السعيدة,17590,0,1900,12,0,30,0,0,0,10,0,15.0,48,19605,Feuil1
جلمة,15675,125,635,50,96,65,15,70,8,11,117,12.0,7,16886,Feuil1
بن عون,32394,51,8166,679,10,42,10,1,4,20,1,2.0,15,41395,Feuil1
المزونة,13868,7,323,400,2,116,1,0,0,0,80,8.0,60,14865,Feuil1
السبالة,11695,74,499,200,9,6,5,1,0,4,2,0.0,0,12495,Feuil1
أولاد حفوز,20952,47,3057,50,5,42,0,2,2,41,37,3.0,3,24241,Feuil1
بئر الحفي,25987,164,1290,147,16,49,13,7,8,6,13,6.0,2,27708,Feuil1
منزل بوزيان,21255,91,1135,1506,23,92,13,0,0,7,11,6.5,9,24149,Feuil1
السوق الجديد,14758,6,159,83,3,14,0,7,1,27,7,0.0,2,15067,Feuil1
الجملة,284437,936,28266,4004,392,1059,118,173,30,310,471,366.0,946,321508,Feuil1
