المعتمدية,زيتون_زيت,زيتون_طاولة,لوز,فستق,مشمش,خوخ,عوينة,تفاح,اجاص,تين,رمان,قوارص,عنب,المجموع,feuille
بوزيد الغربية,784450,39700,112700,17860,21098,12547,1020,16525,630,3400,35700,3130,1000,1049760,Feuil1
بوزيد الشرقية,1090405,5850,406400,15500,2400,9600,0,600,0,1400,11250,10000,5000,1558405,Feuil1
المكناسي,882443,4500,208750,24500,1000,43000,400,6000,0,0,6000,1500,17500,1195593,Feuil1
الرقاب,1124700,4000,573000,4750,13000,233750,22000,1200,0,5000,15800,110400,975000,3082600,Feuil1
السعيدة,521900,0,298000,840,0,16500,0,0,0,500,0,3600,60000,901340,Feuil1
جلمة,1088995,13500,179500,1000,8600,30200,3000,28000,3200,1420,65350,5172,8750,1436687,Feuil1
بن عون,1165681,3900,694943,50360,2385,20750,4750,200,2000,2670,400,570,18750,1967359,Feuil1
المزونة,754600,1400,38450,12800,1000,58000,400,0,0,0,33280,3300,51400,954630,Feuil1
السبالة,647500,11100,51100,14000,2300,1900,1000,300,0,400,700,0,0,730300,Feuil1
أولاد حفوز,639650,7000,231150,4800,2000,19400,0,350,200,5450,11100,600,375,922075,Feuil1
بئر الحفي,1088325,27490,288900,11700,5300,24500,5000,2800,2700,1200,5200,2100,0,1465215,Feuil1
منزل بوزيان,1164250,14700,300500,105420,9200,44905,4900,0,0,320,2200,1840,11250,1659485,Feuil1
السوق الجديد,321300,1150,39690,7250,600,5464,0,2100,100,4400,2100,0,2500,386654,Feuil1
الجملة,11274199,134290,3423083,270780,68883,520516,42470,58075,8830,26160,189080,142212,1151525,17310103,Feuil1
