annee,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,feuille
main d'œuvre familial,1188.0,1161.5,1198.2,1191.3,1210.9,1226.9,1258.2,1220.7,1211.0,1235.2,Feuil1
main d'œuvre permanent,48.7,48.5,48.1,49.1,46.4,47.7,51.8,47.2,46.9,48.0,Feuil1
main d'œuvre vacataire,149.5,137.4,129.7,173.3,194.3,188.9,283.6,213.9,195.9,199.8,Feuil1
