annee,delegation,aviculture_en_milles_unites,cunicultures_unite,apiculture_ruche,feuille
2016,MANOUBA,0.0,0.0,0.0,Feuil1
2016,DOUAR HICHER,0.0,0.0,0.0,Feuil1
2016,OUED ELLIL,981.55,84.0,550.0,Feuil1
2016,MORNAGUIA,1346.487,270.0,162.0,Feuil1
2016,BORJ EL AMRI,448.34,7.0,563.0,Feuil1
2016,DJEDAIDA,912.585,1250.0,670.0,Feuil1
2016,TEBOURBA,3371.35,24.0,2958.0,Feuil1
2016,EL BATTANE,292.767,91.0,564.0,Feuil1
2017,MANOUBA,,,,Feuil1
2017,DOUAR HICHER,,,,Feuil1
2017,OUED ELLIL,424.15,20.0,624.0,Feuil1
2017,MORNAGUIA,1346.487,70.0,126.0,Feuil1
2017,BORJ EL AMRI,448.34,8.0,670.0,Feuil1
2017,DJEDAIDA,872.585,1194.0,715.0,Feuil1
2017,TEBOURBA,3301.35,15.0,4135.0,Feuil1
2017,EL BATTANE,292.767,75.0,1235.0,Feuil1
2018,MANOUBA,,30.0,,Feuil1
2018,DOUAR HICHER,,,,Feuil1
2018,OUED ELLIL,424.15,60.0,664.0,Feuil1
2018,MORNAGUIA,1346.487,160.0,160.0,Feuil1
2018,BORJ EL AMRI,448.34,36.0,427.0,Feuil1
2018,DJEDAIDA,838.0,1150.0,437.0,Feuil1
2018,TEBOURBA,3313.0,30.0,3820.0,Feuil1
2018,EL BATTANE,293.0,170.0,827.0,Feuil1
2019,MANOUBA,,,,Feuil1
2019,DOUAR HICHER,,,,Feuil1
2019,OUED ELLIL,424.15,59.0,664.0,Feuil1
2019,MORNAGUIA,1346.487,178.0,22.0,Feuil1
2019,BORJ EL AMRI,448.34,0.0,593.0,Feuil1
2019,DJEDAIDA,872.505,640.0,494.0,Feuil1
2019,TEBOURBA,3371.35,97.0,4642.0,Feuil1
2019,EL BATTANE,292.767,120.0,827.0,Feuil1
2020,MANOUBA,0.0,0.0,0.0,Feuil1
2020,DOUAR HICHER,0.0,0.0,0.0,Feuil1
2020,OUED ELLIL,424.0,65.0,591.0,Feuil1
2020,MORNAGUIA,1346.0,200.0,30.0,Feuil1
2020,BORJ EL AMRI,348.0,33.0,345.0,Feuil1
2020,DJEDAIDA,873.0,762.0,460.0,Feuil1
2020,TEBOURBA,3256.0,83.0,4120.0,Feuil1
2020,EL BATTANE,293.0,133.0,693.0,Feuil1
2021,MANOUBA,0.0,0.0,0.0,Feuil1
2021,DOUAR HICHER,0.0,0.0,0.0,Feuil1
2021,OUED ELLIL,424.15,40.0,500.0,Feuil1
2021,MORNAGUIA,1346.487,148.0,0.0,Feuil1
2021,BORJ EL AMRI,347.34,0.0,578.0,Feuil1
2021,DJEDAIDA,872.585,524.0,380.0,Feuil1
2021,TEBOURBA,3256.35,0.0,3500.0,Feuil1
2021,EL BATTANE,963.767,70.0,827.0,Feuil1
2022,MANOUBA,,0.0,0.0,Feuil1
2022,DOUAR HICHER,,0.0,0.0,Feuil1
2022,OUED ELLIL,424.15,50.0,579.0,Feuil1
2022,MORNAGUIA,1346.487,108.0,311.0,Feuil1
2022,BORJ EL AMRI,310.0,120.0,475.0,Feuil1
2022,DJEDAIDA,872.585,24.0,,Feuil1
2022,TEBOURBA,3256.35,,3141.0,Feuil1
2022,EL BATTANE,292.767,5.0,785.0,Feuil1
2023,MANOUBA,,,60.0,Feuil1
2023,DOUAR HICHER,,,,Feuil1
2023,OUED ELLIL,424.15,37.0,400.0,Feuil1
2023,MORNAGUIA,1346.487,60.0,176.0,Feuil1
2023,BORJ EL AMRI,310.0,,300.0,Feuil1
2023,DJEDAIDA,872.585,34.0,436.0,Feuil1
2023,TEBOURBA,3256.35,,1570.0,Feuil1
2023,EL BATTANE,292.767,320.0,500.0,Feuil1
2024,MANOUBA,0.0,0.0,60.0,Feuil1
2024,DOUAR HICHER,0.0,0.0,0.0,Feuil1
2024,OUED ELLIL,404.0,40.0,366.0,Feuil1
2024,MORNAGUIA,1253.0,135.0,161.0,Feuil1
2024,BORJ EL AMRI,342.0,420.0,275.0,Feuil1
2024,DJEDAIDA,873.0,0.0,393.0,Feuil1
2024,TEBOURBA,3268.0,0.0,1437.0,Feuil1
2024,EL BATTANE,293.0,0.0,458.0,Feuil1
