annee,delegation,nombre_de_cellules_de_vulgarisation_agricole,nombre_de_centre_de_rayonnement_agricole,feuille
2024,القصرين.ش,1.0,2.0,Feuil1
2024,القصرين.ج,,,Feuil1
2024,سبيطلة,1.0,2.0,Feuil1
2024,سبيبة,1.0,1.0,Feuil1
2024,جدليان,1.0,1.0,Feuil1
2024,العيون,1.0,,Feuil1
2024,تالة,1.0,1.0,Feuil1
2024,حيدرة,1.0,1.0,Feuil1
2024,فوسانة,1.0,2.0,Feuil1
2024,فريانة,1.0,2.0,Feuil1
2024,ماجل بلعباس,1.0,2.0,Feuil1
2024,حاسي الفريد,1.0,1.0,Feuil1
2024,الزهور,,,Feuil1
2024,مجموع الولاية,10.0,13.0,Feuil1
