unnamed_0,قمح_صلب_2017,قمح_صلب_2018,قمح_صلب_2019,قمح_صلب_2020,قمح_صلب_2021,قمح_لين_2017,قمح_لين_2018,قمح_لين_2019,قمح_لين_2020,قمح_لين_2021,شعير_2017,شعير_2018,شعير_2019,شعير_2020,شعير_2021,feuille
صفاقس الجنوبية,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,Feuil1
طينة,97.5,7.4879999999999995,40.0,0.0,0.0,0.0,,0,0.0,,315.0,34.335,0.0,0.0,50.0,Feuil1
ساقية الزيت,35.1,2.69568,0.0,0.0,0.0,0.0,,0,0.0,,99.6,10.856399999999999,0.0,0.0,21.0,Feuil1
ساقية الدائر,23.4,1.7971199999999998,12753.76,12114.0,12524.0,0.0,,12108,10095.0,,179.8,19.598200000000002,10655.04,9085.5,34.0,Feuil1
جبنيانة,140.4,10.78272,0.0,0.0,0.0,1.05,,0,0.0,6.0,1440.0,160.0,0.0,0.0,172.0,Feuil1
العامرة,68.4,5.25312,8.374,38.55,43.4,0.0,,0,0.0,,1080.0,122.0,42.229440000000004,205.79653800000003,132.0,Feuil1
الحنشة,190.0,14.591999999999999,3.01464,13.878,18.6,2.17,,0,0.0,,1122.7,122.3743,13.421759999999999,65.40820199999999,213.0,Feuil1
منزل شاكر,255.0,19.584,2.00976,9.252,18.6,1.75,,0,0.0,,223.6,24.3724,24.22464,118.053828,115.0,Feuil1
عقارب,362.7,27.855359999999997,12.05856,55.512,62.0,1.33,,0,10.725,,1258.8,138.0,193.79712,944.430624,462.00000000000006,Feuil1
المحرس,105.3,8.087039999999998,45.0,27.756,62.0,0.9,,0,0.0,,170.0,18.53,145.34784,40.0,748.0000000000001,Feuil1
بئر علي,1583.4,121.60512,17.08296,78.64200000000001,589.0,4.76,,0,22.165,,3350.0,365.15,151.24032,1400.0,485.0,Feuil1
الصخيرة,1852.2,142.24895999999998,22.10736,101.77199999999999,372.0,6.44,,0,17.875,,3630.4,395.7136,30.11712,1400.0,308.0,Feuil1
الغربية,429.0,32.947199999999995,180.0,143.406,415.40000000000003,1.19,,0,13.584999999999997,,790.0,86.11,163.68,1080.0,616.0,Feuil1
قرقنة,0.0,0.0,9.04392,41.634,62.0,0.0,,0,9.294999999999998,,89.9,9.799100000000001,62.0,111.67254,39.6,Feuil1
المجمــوع,5142.0,395.0,13092.0,12624.0,14167.0,20.0,0.0,12108,10169.0,6.0,13750.0,1507.0,11481.0,14451.0,3396.0,Feuil1
