unnamed_0,unnamed_2,unnamed_4,feuille
,,,Feuil1
التزود بالمواد العلفية,الوحدة,الانجاز الشهري,Feuil1
التزود بمادة السداري,طن,3362,Feuil1
التزود بالشعير العلفي,ق,26390,Feuil1
التزود بقوالب الفصة,ق,0,Feuil1
