annee,ann_2007,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,ann_2017,ann_2018,ann_2019,ann_2020,ann_2021,ann_2022,ann_2023,feuille
janvier,40.3,39.0,35.0,45.5,39.0,51.4,49.4,49.3,54.5,55.0,60.5,57.2,55.5,58.9,60.4,60.0,53.9,Feuil1
fevrier,40.2,44.3,37.9,43.6,42.4,50.3,49.2,49.9,56.8,56.6,58.3,54.8,53.6,63.0,58.9,59.5,52.5,Feuil1
mars,49.7,50.9,46.7,53.2,48.1,60.5,58.0,58.4,63.1,59.1,68.3,63.0,66.0,75.8,70.3,67.6,61.2,Feuil1
avril,48.6,51.2,47.2,53.7,49.3,61.5,56.4,58.6,66.4,61.3,69.3,64.0,67.0,69.2,65.2,57.8,,Feuil1
mai,47.1,52.1,51.5,52.9,51.5,63.0,56.2,65.1,70.1,66.4,67.9,56.8,56.8,64.5,62.0,65.9,,Feuil1
juin,42.8,46.2,45.8,46.4,47.3,55.2,50.0,56.2,59.4,54.0,56.0,59.4,61.8,64.4,60.0,52.6,,Feuil1
juillet,41.3,42.7,41.8,42.6,46.0,49.9,44.6,49.3,56.8,58.6,61.6,54.3,57.8,63.4,58.3,52.3,,Feuil1
aout,40.6,41.0,37.8,38.0,40.1,46.6,48.8,52.5,55.4,57.7,55.3,52.2,54.9,57.6,56.4,48.9,,Feuil1
septembre,31.8,31.5,31.0,38.7,42.7,45.5,45.9,49.9,52.9,54.0,53.9,48.8,50.2,54.0,52.3,43.8,,Feuil1
octobre,30.6,30.9,35.2,39.3,43.0,44.5,44.0,47.6,50.3,51.5,54.6,49.7,50.6,54.1,52.2,45.4,,Feuil1
novembre,32.2,32.1,36.3,39.7,42.1,42.9,44.1,47.4,49.6,53.0,48.2,48.9,50.2,51.4,49.5,43.0,,Feuil1
decembre,35.9,33.8,37.1,37.7,44.9,47.8,47.6,48.9,50.5,55.4,54.0,54.5,54.2,54.0,54.1,48.4,,Feuil1
