annee,delegation,viande_rouge_t,viande_blanche_t,lait_t,laine_t,œufs_milliers,miel_t,code_geographique,feuille
2022,حي التضامن,800.0,0.0,0.0,0.0,0,0.0,1256.0,Feuil1
2022,المنيهلة,140.0,0.0,1035.0,3.0,0,1.0,1257.0,Feuil1
2022,المجمـوع,4625.0,1238.0,41262.0,43.0,387,16.0,,Feuil1
2023,أريانة المدينة,0.0,0.0,0.0,0.0,0,0.0,1251.0,Feuil1
2023,سكرة,509.0,0.0,4501.0,1.0,0,4.0,1252.0,Feuil1
2023,رواد,399.0,0.0,5209.0,5.0,0,2.0,1253.0,Feuil1
2023,قلعة الأندلس,1816.0,0.0,26100.0,27.0,0,3.0,1254.0,Feuil1
2023,سيدي ثابت,763.0,1508.0,4092.0,16.0,0,6.0,1255.0,Feuil1
2023,حي التضامن,0.0,0.0,0.0,0.0,0,0.0,1256.0,Feuil1
2023,المنيهلة,146.0,0.0,1023.0,4.0,0,1.0,1257.0,Feuil1
2023,المجمـوع,3633.0,1508.0,40925.0,53.0,0,16.0,,Feuil1
2024,أريانة المدينة,0.0,0.0,0.0,0.0,0,0.0,1251.0,Feuil1
2024,سكرة,449.0,0.0,4186.0,1.0,0,7.0,1252.0,Feuil1
2024,رواد,352.0,11.0,4845.0,5.0,0,8.0,1253.0,Feuil1
2024,قلعة الأندلس,1602.0,40.0,24275.0,26.0,0,10.0,1254.0,Feuil1
2024,سيدي ثابت,678.0,1508.0,3806.0,16.0,0,9.0,1255.0,Feuil1
2024,حي التضامن,0.0,0.0,0.0,0.0,0,0.0,1256.0,Feuil1
2024,المنيهلة,124.0,0.0,952.0,4.0,0,0.0,1257.0,Feuil1
2024,المجمـوع,3205.0,1559.0,38064.0,52.0,0,34.0,,Feuil1
