annee,delegation,bateaux_de_peche_cotiere_non_motorises,bateaux_de_peche_cotiere_motorises,bateaux_de_peche_au_thon_rouge,bateaux_de_peche_au_chalut_benthique,bateaux_de_peche_au_feu,unites_de_peche_a_la_senne_coulissante,feuille
2022,Médenine Sud,65,79,0,0,0,0,Feuil1
2022,Sidi Makhlouf,60,33,0,0,0,0,Feuil1
2022,Ajim,400,130,0,0,0,0,Feuil1
2022,Houmet Essouk,136,136,0,0,2,0,Feuil1
2022,Midoun,0,0,0,0,0,0,Feuil1
2022,Zarzis,680,220,6,1,20,9,Feuil1
2022,Ben Guerdane,60,33,0,0,0,0,Feuil1
2022,Total,1401,631,6,1,22,9,Feuil1
2023,Médenine Sud,67,75,0,0,0,0,Feuil1
2023,Sidi Makhlouf,50,30,0,0,0,0,Feuil1
2023,Ajim,420,135,0,0,0,0,Feuil1
2023,Houmet Essouk,166,52,0,0,3,0,Feuil1
2023,Midoun,0,0,0,0,0,0,Feuil1
2023,Zarzis,755,258,6,1,19,9,Feuil1
2023,Ben Guerdane,45,53,0,0,0,0,Feuil1
2023,Total,1503,603,6,1,22,9,Feuil1
2024,Médenine Sud,67,71,0,0,0,0,Feuil1
2024,Sidi Makhlouf,50,20,0,0,0,0,Feuil1
2024,Ajim,450,130,0,0,0,0,Feuil1
2024,Houmet Essouk,176,52,0,0,3,0,Feuil1
2024,Midoun,0,0,0,0,0,0,Feuil1
2024,Zarzis,776,251,8,3,19,10,Feuil1
2024,Ben Guerdane,20,48,0,0,0,0,Feuil1
2024,Total,3042,572,8,3,22,10,Feuil1
