denomination,produits_2024,feuille
Almostakbel,"Crustacés, Mollusques",Feuil1
Amira Fish,Crustacés,Feuil1
Bena Pesca,"Poissons,Crustacés, Mollusques",Feuil1
Carthage de PM,"Crustacés, Mollusques",Feuil1
Congemer Plus,Crustacés,Feuil1
Socopmer,Crustacées,Feuil1
ASP international,"Crustacés, Mollusques",Feuil1
Erramla,Crustacées,Feuil1
Golden Fish,"Poissons,Crustacés, Mollusques",Feuil1
Impex-Tunisie,"Crustacés, Mollusques",Feuil1
L'Ocean de Péche,Crustacés,Feuil1
Marenostrum,"Poissons,Crustacés, Mollusques",Feuil1
Mas Fish,"Crustacés, Mollusques",Feuil1
Meridien Pesca,"Poissons,Crustacés, Mollusques",Feuil1
MWF,Crustacés,Feuil1
STPM,"Poissons,Crustacés, Mollusques",Feuil1
New Med Fish,"Crustacés, Mollusques",Feuil1
PCBM,"Crustacés, Mollusques",Feuil1
SCTMP Plus,Crustacés,Feuil1
SOCEPA,"Crustacés, Mollusques",Feuil1
Sotuprom,Crustacés,Feuil1
Sté Sidi Fraj,"Crustacés, conserves de thon",Feuil1
Sté Chaari Fils,"Poissons,Crustacés, Mollusques",Feuil1
Trésor mer,Crustacés,Feuil1
Tunifood,Crustacés,Feuil1
Younga Fish,Crustacés,Feuil1
Sofipéche,Mollusques,Feuil1
NOVO GEL,"Poissons,Crustacés, Mollusques",Feuil1
Eponge d'or,Eponges,Feuil1
Jamel Amara,Eponges,Feuil1
Stepma,Eponges,Feuil1
