nom_fr,nom_ar,delegation,secteur,anee_de_creation,capacite_normale_mille_m3,capacite_maximale_mille_m3,latitude_m,longitude_m,latitude_dd,longitude_dd,feuille
El Khobza,الخبزة,Goubellat,Kheniguet Ed D'hen,1982,45,250,547710,4069681,"36,774335°","9,534618°",barrages_collinaire_beja
Thibar,تيبار,Thibar,Ain D'fali,1987,800,2000,507052,4039899,"36,507015°","9,078751°",barrages_collinaire_beja
Jorfane_B21,الجرفان_ب21,Beja nord,Bouhzeme,1990,50,300,546343,4037834,"36,487299°","9,517372°",barrages_collinaire_beja
Argoub_B27,العرقوب_ب27,Amdoun,Ghouzia,1990,30,350,511153,4075914,"36,831662°","9,125073°",barrages_collinaire_beja
El Kantra,القنطرة,Goubellat,Grem,1990,90,400,516631,4091100,"36,968474°","9,186829°",barrages_collinaire_beja
Jenan_B18,الجنان_ب18,Beja nord,El Ghraba,1990,320,450,516979,4092395,"36,980149°","9,190765°",barrages_collinaire_beja
El Karkati,الكركاتي,Nefza,Bouzenna,1994,100,170,518130,4076809,"36,839621°","9,203329°",barrages_collinaire_beja
Serser_B19,السرسار_ب19,Beja nord,Ain Soltane,1994,120,300,553821,4037170,"36,480925°","9,600809°",barrages_collinaire_beja
El Baccouche,البكوش,Nefza,Bouzenna,1994,150,300,521721,4077551,"36,846236°","9,243621°",barrages_collinaire_beja
El Alalcha_B23,العلالشة_ب23,Beja nord,Bouhzeme,1994,40,350,517752,4076062,"36,832890°","9,199068°",barrages_collinaire_beja
El Bkibika,البكيبيكة,Nefza,Bouzenna,1994,250,500,513601,4083407,"36,899174°","9,152651°",barrages_collinaire_beja
Gueltet el Bill_B35,قلتة_البل_ب35,Beja nord,Nagachia,1994,850,1100,515962,4091337,"36,970628°","9,179319°",barrages_collinaire_beja
Kachdou,كاشدو,Testour,Sghira,1996,350,700,504631,4037241,"36,483066°","9,051694°",barrages_collinaire_beja
El Khanguet,الخنقات,Medjez el bab,Ksar Echikh,1996,200,1800,550071,4048878,"36,586673°","9,559708°",barrages_collinaire_beja
M'sila,مسيلة,Thibar,Ain D'fali,1999,90,260,571447,4048516,"36,582053°","9,798606°",barrages_collinaire_beja
Labyadh,الأبيض,Testour,Ouled Slama,1999,120,500,515294,4026616,"36,387168°","9,170523°",barrages_collinaire_beja
Sidi Yahia,سيدي_يحيى,Goubellat,Dour Smail,1999,450,1000,553127,4041202,"36,517314°","9,593343°",barrages_collinaire_beja
Er Rmel,الرمل,Testour,Slouguia,1999,500,1100,545460,4040966,"36,515579°","9,507701°",barrages_collinaire_beja
Kochbar,كشبار,Testour,Ain younes,1999,600,1150,507240,4030618,"36,423334°","9,082101°",barrages_collinaire_beja
Slouguia,السلوقية,Testour,Slouguia,1999,400,1200,518589,4078732,"36,856944°","9,208524°",barrages_collinaire_beja
El Hadded,الحداد,Testour,Ouled Slama,2002,500,1300,535098,4039369,"36,501622°","9,391903°",barrages_collinaire_beja
Rr Rmil,الرميل,Teboursouk,Ain Hammam,2002,550,1200,539774,4049975,"36,597051°","9,444667°",barrages_collinaire_beja
Rihana,ريحانة,Thibar,Rihana,2003,45,400,546287,4047163,"36,571403°","9,517307°",barrages_collinaire_beja
