annee,station,moyenne_mois,septembre,octobre,novembre,decembre,janvier,fevrier,mars,avril,mai,juin,juillet,aout,total,feuille
2020,باجة الشمالية,المعدل,38.0,66.0,68.0,98.0,105.0,83.0,64.0,54.0,31.0,15.0,4.2,7.8,634.0,Feuil1
2020,Béja nord,الشهر,61.8,37.8,71.0,72.8,19.6,1.0,105.4,85.3,0.8,3.8,1.0,1.0,461.3,Feuil1
2020,باجة الجنوبية,المعدل,35.8,35.5,54.4,70.3,76.0,59.8,39.3,45.0,28.8,16.3,4.7,11.6,477.50000000000006,Feuil1
2020,Béja sud,الشهر,57.0,19.5,42.5,42.0,15.0,,58.6,52.5,,1.5,,3.0,291.6,Feuil1
2020,عمدون,المعدل,36.0,66.0,92.0,101.0,94.0,75.0,83.0,51.0,26.0,8.0,4.0,4.0,640.0,Feuil1
2020,Amdoun,الشهر,55.0,32.0,90.5,62.0,45.0,,125.0,86.0,,,2.0,,497.5,Feuil1
2020,نفزة,المعدل,37.0,112.0,148.0,146.0,126.0,116.0,97.0,75.0,31.0,8.5,2.6,7.0,906.1,Feuil1
2020,Nefza,الشهر,118.0,86.0,207.0,87.5,36.0,3.0,127.0,65.0,,3.0,4.0,,736.5,Feuil1
2020,تبرسق,المعدل,37.0,63.0,60.0,72.0,75.0,63.0,65.0,59.0,33.0,22.0,7.1,12.0,568.1,Feuil1
2020,téboursouk,الشهر,114.0,25.0,34.0,39.0,14.0,6.0,73.0,77.0,,,2.0,,384.0,Feuil1
2020,مجاز الباب,المعدل,41.0,52.0,43.0,48.0,52.0,57.0,44.0,35.0,23.0,14.0,3.9,8.9,421.79999999999995,Feuil1
2020,Medjez,الشهر,41.5,11.0,25.0,38.0,18.0,5.0,71.5,59.5,,,0.5,3.0,273.0,Feuil1
2020,تستور,المعدل,26.0,53.0,55.0,45.0,57.0,45.0,53.0,38.0,24.0,7.0,7.0,6.0,416.0,Feuil1
2020,Testour,الشهر,97.5,20.0,25.0,32.5,11.0,5.0,58.0,87.5,,,3.0,,339.5,Feuil1
2020,قبلاط,المعدل,24.0,56.0,47.0,41.0,51.0,45.0,50.0,32.0,24.0,8.0,5.0,3.0,386.0,Feuil1
2020,Goubellat,الشهر,64.5,21.5,22.5,53.0,10.5,10.2,69.7,70.5,,,,,322.4,Feuil1
2020,تيبار,المعدل,37.0,53.0,63.0,93.0,86.0,74.0,68.0,56.0,40.0,29.0,5.0,7.0,611.0,Feuil1
2020,Thibar,الشهر,59.5,45.5,55.5,54.5,19.5,1.0,84.0,72.0,,6.0,1.0,24.0,422.5,Feuil1
2020,المجموع,الشهر,668.8,298.3,573.0,481.3,188.6,31.2,772.2,655.3,0.8,14.3,13.5,31.0,,Feuil1
2021,باجة الشمالية,المعدل,38.0,66.0,68.0,98.0,105.0,83.0,64.0,54.0,31.0,15.0,4.2,7.8,634.0,Feuil1
2021,Béja nord,الشهر,39.0,27.2,55.6,106.8,40.2,23.8,96.5,39.6,24.1,,,5.4,458.20000000000005,Feuil1
2021,باجة الجنوبية,المعدل,35.8,35.5,54.4,70.3,76.0,59.8,39.3,45.0,28.8,16.3,4.7,11.6,477.50000000000006,Feuil1
2021,Béja sud,الشهر,10.5,17.0,57.5,71.0,22.0,6.5,63.0,28.0,12.5,,,8.0,296.0,Feuil1
2021,عمدون,المعدل,36.0,66.0,92.0,101.0,94.0,75.0,83.0,51.0,26.0,8.0,4.0,4.0,640.0,Feuil1
2021,Amdoun,الشهر,53.0,26.0,137.0,83.0,73.0,9.0,96.5,48.0,12.0,,,,537.5,Feuil1
2021,نفزة,المعدل,37.0,112.0,148.0,146.0,126.0,116.0,97.0,75.0,31.0,8.5,2.6,7.0,906.1,Feuil1
2021,Nefza,الشهر,78.0,72.0,118.5,228.0,102.0,23.0,65.0,58.0,28.0,,,2.0,774.5,Feuil1
2021,تبرسق,المعدل,37.0,63.0,60.0,72.0,75.0,63.0,65.0,59.0,33.0,22.0,7.1,12.0,568.1,Feuil1
2021,téboursouk,الشهر,31.0,17.0,115.0,113.0,69.0,46.0,80.0,76.0,35.0,,,,582.0,Feuil1
2021,مجاز الباب,المعدل,41.0,52.0,43.0,48.0,52.0,57.0,44.0,35.0,23.0,14.0,3.9,8.9,421.79999999999995,Feuil1
2021,Medjez,الشهر,20.5,15.5,73.5,84.5,21.5,11.0,67.5,38.0,13.0,,,,345.0,Feuil1
2021,تستور,المعدل,26.0,53.0,55.0,45.0,57.0,45.0,53.0,38.0,24.0,7.0,7.0,6.0,416.0,Feuil1
2021,Testour,الشهر,35.0,13.5,90.0,71.5,25.5,10.5,51.5,33.5,17.0,,,,348.0,Feuil1
2021,قبلاط,المعدل,24.0,56.0,47.0,41.0,51.0,45.0,50.0,32.0,24.0,8.0,5.0,3.0,386.0,Feuil1
2021,Goubellat,الشهر,123.0,8.7,77.7,75.5,20.7,5.1,43.2,26.0,16.5,,,,396.4,Feuil1
2021,تيبار,المعدل,37.0,53.0,63.0,93.0,86.0,74.0,68.0,56.0,40.0,29.0,5.0,7.0,611.0,Feuil1
2021,Thibar,الشهر,15.0,26.0,107.5,112.0,39.0,20.5,87.5,48.0,27.0,,,14.0,496.5,Feuil1
2021,المجموع,الشهر,405.0,222.89999999999998,832.3000000000001,945.3,412.9,155.4,650.7,395.1,185.1,0.0,0.0,29.4,,Feuil1
2022,باجة الشمالية,المعدل,38.0,66.0,68.0,98.0,105.0,83.0,64.0,54.0,31.0,15.0,4.2,7.8,634.0,Feuil1
2022,Béja nord,الشهر,24.1,127.3,49.0,122.0,107.0,14.2,69.4,22.4,25.8,,,,561.1999999999999,Feuil1
2022,باجة الجنوبية,المعدل,35.8,35.5,54.5,70.3,76.0,59.8,39.3,45.0,28.8,16.3,4.7,11.6,477.6000000000001,Feuil1
2022,Béja sud,الشهر,11.0,88.5,28.5,76.0,67.5,14.5,95.5,15.5,15.5,,,1.0,413.5,Feuil1
2022,عمدون,المعدل,36.0,66.0,92.0,101.0,94.0,75.0,83.0,51.0,26.0,8.0,4.0,4.0,640.0,Feuil1
2022,Amdoun,الشهر,7.5,170.0,44.0,102.0,102.0,6.0,70.5,16.5,39.0,,,,557.5,Feuil1
2022,نفزة,المعدل,37.0,112.0,148.0,146.0,126.0,116.0,97.0,75.0,31.0,8.5,2.6,7.0,906.1,Feuil1
2022,Nefza,الشهر,24.0,205.5,121.0,201.0,104.0,17.0,50.0,45.0,62.0,,,,829.5,Feuil1
2022,تبرسق,المعدل,37.0,63.0,60.0,72.0,75.0,63.0,65.0,59.0,33.0,22.0,7.1,12.0,568.1,Feuil1
2022,téboursouk,الشهر,,102.0,37.0,106.0,113.0,27.0,139.0,19.0,24.0,,,6.0,573.0,Feuil1
2022,مجاز الباب,المعدل,41.0,52.0,43.0,48.0,52.0,57.0,44.0,35.0,23.0,14.0,3.9,8.9,421.79999999999995,Feuil1
2022,Medjez,الشهر,,89.0,21.0,86.0,44.5,13.5,119.5,15.0,44.5,,,,433.0,Feuil1
2022,تستور,المعدل,26.0,53.0,55.0,45.0,57.0,45.0,53.0,38.0,24.0,7.0,7.0,6.0,416.0,Feuil1
2022,Testour,الشهر,12.0,134.0,18.2,62.0,47.0,16.5,93.0,19.0,15.5,,,4.0,421.2,Feuil1
2022,قبلاط,المعدل,24.0,56.0,47.0,41.0,51.0,45.0,50.0,32.0,24.0,8.0,5.0,3.0,386.0,Feuil1
2022,Goubellat,الشهر,,164.5,13.5,75.5,37.0,13.5,86.5,12.5,43.5,,,3.0,449.5,Feuil1
2022,تيبار,المعدل,37.0,53.0,63.0,93.0,86.0,74.0,68.0,56.0,40.0,29.0,5.0,7.0,611.0,Feuil1
2022,Thibar,الشهر,15.0,132.0,26.5,109.0,66.0,34.0,122.0,24.0,30.0,7.0,,,565.5,Feuil1
2022,المجموع,الشهر,93.6,1212.8,358.7,939.5,688.0,156.2,845.4,188.9,299.8,7.0,0.0,14.0,,Feuil1
2023,باجة الشمالية,المعدل,38.0,66.0,68.0,98.0,105.0,83.0,64.0,54.0,31.0,15.0,4.2,7.8,634.0,Feuil1
2023,Béja nord,الشهر,51.6,5.8,107.0,13.2,42.2,12.2,14.0,37.4,86.0,105.5,,,474.9,Feuil1
2023,باجة الجنوبية,المعدل,35.8,35.5,54.5,70.3,76.0,59.8,39.3,45.0,28.8,16.3,4.7,11.6,477.6000000000001,Feuil1
2023,Béja sud,الشهر,30.0,10.5,58.5,20.6,21.5,5.0,0.5,31.5,69.0,63.0,2.0,,312.1,Feuil1
2023,عمدون,المعدل,36.0,66.0,92.0,101.0,94.0,75.0,83.0,51.0,26.0,8.0,4.0,4.0,640.0,Feuil1
2023,Amdoun,الشهر,47.0,17.0,95.0,18.0,40.0,33.0,12.0,34.0,69.0,67.0,,,432.0,Feuil1
2023,نفزة,المعدل,37.0,112.0,148.0,146.0,126.0,116.0,97.0,75.0,31.0,8.5,2.6,7.0,906.1,Feuil1
2023,Nefza,الشهر,68.0,14.0,222.0,37.0,176.0,30.0,48.0,40.0,67.0,49.0,,,751.0,Feuil1
2023,تبرسق,المعدل,37.0,63.0,60.0,72.0,75.0,63.0,65.0,59.0,33.0,22.0,7.1,12.0,568.1,Feuil1
2023,téboursouk,الشهر,48.0,18.0,117.0,37.0,42.0,55.0,0.0,45.5,69.0,69.5,,,501.0,Feuil1
2023,مجاز الباب,المعدل,41.0,52.0,43.0,48.0,52.0,57.0,44.0,35.0,23.0,14.0,3.9,8.9,421.79999999999995,Feuil1
2023,Medjez,الشهر,64.0,16.5,45.0,6.0,19.5,14.0,2.0,18.5,45.0,60.5,,,291.0,Feuil1
2023,تستور,المعدل,26.0,53.0,55.0,45.0,57.0,45.0,53.0,38.0,24.0,7.0,7.0,6.0,416.0,Feuil1
2023,Testour,الشهر,38.0,7.0,53.0,9.0,12.0,13.0,0.0,27.0,67.5,38.5,,,265.0,Feuil1
2023,قبلاط,المعدل,24.0,56.0,47.0,41.0,51.0,45.0,50.0,32.0,24.0,8.0,5.0,3.0,386.0,Feuil1
2023,Goubellat,الشهر,56.0,4.0,39.7,6.0,17.0,20.0,0.0,19.0,41.0,27.0,,,229.7,Feuil1
2023,تيبار,المعدل,37.0,53.0,63.0,93.0,86.0,74.0,68.0,56.0,40.0,29.0,5.0,7.0,611.0,Feuil1
2023,Thibar,الشهر,28.0,10.0,84.0,19.0,31.0,23.0,9.5,49.0,88.0,63.0,8.0,,412.5,Feuil1
2023,المجموع,الشهر,430.6,102.8,821.2,165.8,401.2,205.2,86.0,301.9,601.5,543.0,10.0,0.0,,Feuil1
2024,باجة الشمالية,المعدل,38.0,66.0,68.0,98.0,105.0,83.0,64.0,54.0,31.0,15.0,4.2,7.8,634.0,Feuil1
2024,Béja nord,الشهر,0.0,1.0,50.7,136.6,80.8,54.3,23.6,39.6,14.6,8.2,0.0,12.0,421.4000000000001,Feuil1
2024,باجة الجنوبية,المعدل,35.8,35.5,54.5,70.3,76.0,59.8,39.3,45.0,28.8,16.3,4.7,11.6,477.6000000000001,Feuil1
2024,Béja sud,الشهر,0.0,1.5,45.0,117.0,35.3,51.5,23.0,34.5,20.0,1.5,0.0,5.0,334.3,Feuil1
