annee,culture,production,feuille
2004,Pomme_de_terre,375.0,Prouction_1000Tonnes
2004,Tomate,970.0,Prouction_1000Tonnes
2004,Artichaut,12.0,Prouction_1000Tonnes
2004,Piment,255.0,Prouction_1000Tonnes
2004,Oignon,230.0,Prouction_1000Tonnes
2004,Pastéque _Melon,450.0,Prouction_1000Tonnes
2004,Autres légumes,302.0,Prouction_1000Tonnes
2005,Pomme_de_terre,310.0,Prouction_1000Tonnes
2005,Tomate,960.0,Prouction_1000Tonnes
2005,Artichaut,12.0,Prouction_1000Tonnes
2005,Piment,256.0,Prouction_1000Tonnes
2005,Oignon,262.0,Prouction_1000Tonnes
2005,Pastéque _Melon,446.0,Prouction_1000Tonnes
2005,Autres légumes,320.0,Prouction_1000Tonnes
2006,Pomme_de_terre,365.0,Prouction_1000Tonnes
2006,Tomate,855.0,Prouction_1000Tonnes
2006,Artichaut,16.0,Prouction_1000Tonnes
2006,Piment,260.0,Prouction_1000Tonnes
2006,Oignon,355.0,Prouction_1000Tonnes
2006,Pastéque _Melon,467.0,Prouction_1000Tonnes
2006,Autres légumes,340.0,Prouction_1000Tonnes
2007,Pomme_de_terre,357.0,Prouction_1000Tonnes
2007,Tomate,1030.0,Prouction_1000Tonnes
2007,Artichaut,19.0,Prouction_1000Tonnes
2007,Piment,278.0,Prouction_1000Tonnes
2007,Oignon,360.0,Prouction_1000Tonnes
2007,Pastéque _Melon,466.0,Prouction_1000Tonnes
2007,Autres légumes,325.0,Prouction_1000Tonnes
2008,Pomme_de_terre,370.0,Prouction_1000Tonnes
2008,Tomate,1200.0,Prouction_1000Tonnes
2008,Artichaut,18.0,Prouction_1000Tonnes
2008,Piment,291.0,Prouction_1000Tonnes
2008,Oignon,365.0,Prouction_1000Tonnes
2008,Pastéque _Melon,465.0,Prouction_1000Tonnes
2008,Autres légumes,354.0,Prouction_1000Tonnes
2009,Pomme_de_terre,324.0,Prouction_1000Tonnes
2009,Tomate,1135.0,Prouction_1000Tonnes
2009,Artichaut,16.0,Prouction_1000Tonnes
2009,Piment,281.0,Prouction_1000Tonnes
2009,Oignon,350.0,Prouction_1000Tonnes
2009,Pastéque _Melon,570.0,Prouction_1000Tonnes
2009,Autres légumes,355.0,Prouction_1000Tonnes
2010,Pomme_de_terre,370.0,Prouction_1000Tonnes
2010,Tomate,1296.0,Prouction_1000Tonnes
2010,Artichaut,14.0,Prouction_1000Tonnes
2010,Piment,304.0,Prouction_1000Tonnes
2010,Oignon,362.0,Prouction_1000Tonnes
