gouvernorat,jounees_d_informations_realisees_en_2020_p_j,feuille
Beja,451,Feuil1
Jendouba,1140,Feuil1
Bizerte,356,Feuil1
Kef,1016,Feuil1
Siliana,209,Feuil1
Total,3172,Feuil1
