annee,delegation,superficie_h_cereales,production_t_cereales,superficie_h_legumimeuses,production_t_legumimeuses,superficie_h_maraicheres,production_t_maraicheres,superficie_h_fourrages,production_t_fourrages,feuille
2022,Tataouine nord,2,3.6,2,1.2,57,1750,15.5,450,Production vegetale irriguée
2022,Tataouine sud,2,4.0,1,0.6,49,1520,7.25,210,Production vegetale irriguée
2022,Smar et Beni mhira,12,27.6,2,1.0,14,390,25.0,730,Production vegetale irriguée
2022,Bir lahmer,1,1.8,2,1.0,13,370,11.5,330,Production vegetale irriguée
2022,Ghomarassen,6,15.0,1,0.7,20,620,5.75,170,Production vegetale irriguée
2022,Dehiba,2,4.0,0,0.0,9,290,8.0,230,Production vegetale irriguée
2022,Remada,5,10.0,0,0.0,33,1050,27.0,780,Production vegetale irriguée
2022,Totale,30,66.0,8,4.5,195,5990,100.0,2900,Production vegetale irriguée
