gouvernorat_ولاية,زيتون_زيت_olivier_huile,زيتون_مايدة_olivier_table,عنب_طاولة_raisin_table,عنب_تحويل_raisin_cuve,نخيل_palmier,قوارص_agrume,تفاح_pommier,اجاص_poirier,مشمش_pecher,خوخ_abricotier,لوز_amandier,رمان_grenadier,عوينة_prunier,فستق_pistachier,سفرجل_cognier,تين_figuier,autres,amandier_olivier,olivier_autres,pommier_poirier,palmier_autres,divers_en_intercalaire,feuille
تونس,90.0,10.0,,,,,10.0,10.0,,20.0,10.0,,,,,10.0,,,,,,,Feuil1
أريانة,190.0,20.0,80.0,,,280.0,140.0,100.0,10.0,60.0,30.0,110.0,40.0,20.0,10.0,10.0,20.0,,,,,,Feuil1
منوبة,380.0,260.0,70.0,540.0,,450.0,1230.0,1100.0,70.0,2260.0,260.0,580.0,300.0,,40.0,50.0,,,150.0,,,130.0,Feuil1
بن عروس,220.0,470.0,2430.0,260.0,,1940.0,220.0,110.0,70.0,1730.0,110.0,140.0,100.0,10.0,20.0,60.0,70.0,,,,,,Feuil1
نابل,1000.0,100.0,1200.0,300.0,,18950.0,280.0,180.0,230.0,770.0,300.0,330.0,430.0,,20.0,30.0,230.0,,,,,170.0,Feuil1
بنزرت,400.0,180.0,470.0,360.0,,920.0,650.0,140.0,120.0,410.0,80.0,130.0,10.0,30.0,,50.0,360.0,,,20.0,,150.0,Feuil1
باجة,640.0,250.0,100.0,260.0,,530.0,80.0,90.0,200.0,240.0,250.0,1130.0,100.0,,,300.0,250.0,,,360.0,,1290.0,Feuil1
جندوبة,,,50.0,,,1050.0,100.0,40.0,10.0,120.0,,210.0,90.0,,10.0,,,,,200.0,,40.0,Feuil1
الكاف,1830.0,60.0,50.0,,,,290.0,10.0,0.0,60.0,750.0,30.0,10.0,,,70.0,,10.0,170.0,90.0,,10.0,Feuil1
سليانة,660.0,70.0,30.0,,,30.0,770.0,120.0,60.0,130.0,130.0,60.0,50.0,,,160.0,210.0,150.0,100.0,160.0,,,Feuil1
زغوان,3750.0,1000.0,350.0,30.0,,190.0,100.0,100.0,80.0,430.0,890.0,120.0,80.0,20.0,,,80.0,100.0,40.0,,,170.0,Feuil1
سوسة,2050.0,210.0,50.0,80.0,,20.0,90.0,60.0,20.0,130.0,120.0,470.0,30.0,,,,40.0,180.0,670.0,,,120.0,Feuil1
المنستير,,10.0,,,,,60.0,30.0,10.0,160.0,,210.0,,,,,,,170.0,30.0,,400.0,Feuil1
المهدية,990.0,190.0,,,,,30.0,,10.0,130.0,90.0,30.0,,,,,40.0,20.0,70.0,,,70.0,Feuil1
صفاقس,8400.0,650.0,20.0,,,,,,,10.0,850.0,,,,,,,70.0,250.0,,,30.0,Feuil1
القيروان,12740.0,1280.0,50.0,,,1540.0,1320.0,300.0,3270.0,980.0,760.0,1820.0,120.0,90.0,,190.0,80.0,430.0,2330.0,10.0,,620.0,Feuil1
القصرين,17980.0,100.0,,,,30.0,8420.0,,300.0,2100.0,2820.0,,,1290.0,,110.0,1270.0,2450.0,4020.0,310.0,,540.0,Feuil1
سيدي بو زيد,21000.0,1010.0,820.0,,,230.0,190.0,40.0,70.0,950.0,2960.0,260.0,50.0,150.0,,50.0,40.0,2520.0,260.0,,,60.0,Feuil1
قفصة,9120.0,,,,1920.0,,50.0,50.0,480.0,190.0,830.0,280.0,,1560.0,,130.0,520.0,1070.0,1400.0,70.0,280.0,520.0,Feuil1
قابس,6280.0,,30.0,,210.0,,,,,,280.0,2150.0,,,,30.0,160.0,,3610.0,,3310.0,110.0,Feuil1
مدنين,2050.0,50.0,190.0,,,10.0,10.0,,20.0,70.0,20.0,20.0,,,,30.0,20.0,30.0,210.0,,10.0,50.0,Feuil1
توزر,,,,,,,,,,,,,,,,,,,,,9330.0,,Feuil1
قبلي,,,,,,,,,,,,,,,,,,,,,36640.0,,Feuil1
تطاوين,5910.0,,,,140.0,,60.0,,20.0,280.0,100.0,80.0,,60.0,,460.0,80.0,60.0,770.0,,60.0,,Feuil1
