col_inconnue,investissement_declare,nbr_declaration,nbr_emploi_prevu,secteur_activite,feuille
1,124503743,176,598,التحويل الأولي,SQL Results
2,54832325,52,407,تربية الأحياء المائية,SQL Results
3,858711796,5233,11485,الفلاحي,SQL Results
4,139946812,1146,1587,الخدمات,SQL Results
5,64685606,242,719,الصيد البحري,SQL Results
