annee,mois,region,valeur_dinvestissement_approuve_en_mille_dinars,valeur_de_subvention_en_mille_dinars,feuille
2021,mars,Tunis,508,80.0,investissement region
2021,mars,Ariana,0,0.0,investissement region
2021,mars,Ben Arous,0,0.0,investissement region
2021,mars,Nabeul,12906,3556.0,investissement region
2021,mars,Zaghouan,2600,1066.0,investissement region
2021,mars,Bizerte,1700,689.0,investissement region
2021,mars,Manouba,0,0.0,investissement region
2021,mars,Beja,1330,523.0,investissement region
2021,mars,Jendouba,2189,1007.0,investissement region
2021,mars,Kef,2333,755.0,investissement region
2021,mars,Siliana,1581,531.0,investissement region
2021,mars,Kairouan,9359,4116.0,investissement region
2021,mars,Kasserine,10698,3294.0,investissement region
2021,mars,Sidi Bouzid,7493,2848.0,investissement region
2021,mars,Sousse,1323,229.0,investissement region
2021,mars,Monastir,2293,478.0,investissement region
2021,mars,Mahdia,1634,567.0,investissement region
2021,mars,Sfax,6825,2043.0,investissement region
2021,mars,Gafsa,5767,2044.0,investissement region
2021,mars,Tozeur,1821,531.0,investissement region
2021,mars,Kebili,0,0.0,investissement region
2021,mars,Gabes,5191,1563.0,investissement region
2021,mars,Medenine,5995,2473.0,investissement region
2021,mars,Tataouine,3747,1319.0,investissement region
2021,Avril,Tunis,508,80.0,investissement region
2021,Avril,Ariana,0,0.0,investissement region
2021,Avril,Ben Arous,0,0.0,investissement region
2021,Avril,Nabeul,12906,3327.0,investissement region
2021,Avril,Zaghouan,4189,1102.0,investissement region
2021,Avril,Bizerte,6478,1994.0,investissement region
2021,Avril,Manouba,0,0.0,investissement region
2021,Avril,Beja,1330,509.0,investissement region
2021,Avril,Jendouba,6241,2316.0,investissement region
2021,Avril,Kef,3622,1302.0,investissement region
2021,Avril,Siliana,2858,1111.0,investissement region
2021,Avril,Kairouan,12131,4838.0,investissement region
2021,Avril,Kasserine,10153,3287.0,investissement region
2021,Avril,Sidi Bouzid,13461,5321.0,investissement region
2021,Avril,Sousse,2123,484.0,investissement region
2021,Avril,Monastir,4431,1126.0,investissement region
2021,Avril,Mahdia,1634,567.0,investissement region
2021,Avril,Sfax,6453,2017.0,investissement region
2021,Avril,Gafsa,5476,2019.0,investissement region
2021,Avril,Tozeur,2104,639.0,investissement region
2021,Avril,Kebili,0,0.0,investissement region
2021,Avril,Gabes,8041,2338.0,investissement region
2021,Avril,Medenine,5995,2463.0,investissement region
2021,Avril,Tataouine,4965,1615.0,investissement region
2021,Mai,Tunis,508,80.0,investissement region
2021,Mai,Ariana,0,0.0,investissement region
2021,Mai,Ben Arous,0,0.0,investissement region
2021,Mai,Nabeul,23058,4845.0,investissement region
2021,Mai,Zaghouan,9673,1685.0,investissement region
2021,Mai,Bizerte,8823,2138.0,investissement region
2021,Mai,Manouba,775,217.0,investissement region
2021,Mai,Beja,4977,1776.0,investissement region
2021,Mai,Jendouba,9273,3019.0,investissement region
2021,Mai,Kef,3622,1368.0,investissement region
2021,Mai,Siliana,2776,1066.0,investissement region
