annee,delegation,ovin,caprin,feuille
2016,MANOUBA,1536,127,Feuil2
2016,DOUAR HICHER,1109,109,Feuil2
2016,OUED ELLIL,5003,577,Feuil2
2016,MORNAGUIA,14363,423,Feuil2
2016,BORJ EL AMRI,15827,687,Feuil2
2016,DJEDAIDA,12184,578,Feuil2
2016,TEBOURBA,13441,986,Feuil2
2016,EL BATTANE,18537,1513,Feuil2
2017,MANOUBA,1612,152,Feuil2
2017,DOUAR HICHER,1163,131,Feuil2
2017,OUED ELLIL,5247,540,Feuil2
2017,MORNAGUIA,15074,678,Feuil2
2017,BORJ EL AMRI,16588,792,Feuil2
2017,DJEDAIDA,12778,794,Feuil2
2017,TEBOURBA,14097,1188,Feuil2
2017,EL BATTANE,19441,1725,Feuil2
2018,MANOUBA,1032,130,Feuil2
2018,DOUAR HICHER,1931,209,Feuil2
2018,OUED ELLIL,5007,483,Feuil2
2018,MORNAGUIA,17502,844,Feuil2
2018,BORJ EL AMRI,21023,1458,Feuil2
2018,DJEDAIDA,15273,823,Feuil2
2018,TEBOURBA,20266,1748,Feuil2
2018,EL BATTANE,16666,1445,Feuil2
2019,MANOUBA,1120,94,Feuil2
2019,DOUAR HICHER,1549,31,Feuil2
2019,OUED ELLIL,5741,437,Feuil2
2019,MORNAGUIA,17791,807,Feuil2
2019,BORJ EL AMRI,22346,1368,Feuil2
2019,DJEDAIDA,19629,821,Feuil2
2019,TEBOURBA,23012,2129,Feuil2
2019,EL BATTANE,14812,1813,Feuil2
2020,MANOUBA,1456,85,Feuil2
2020,DOUAR HICHER,1726,96,Feuil2
2020,OUED ELLIL,7889,587,Feuil2
2020,MORNAGUIA,25339,1271,Feuil2
2020,BORJ EL AMRI,22569,1003,Feuil2
2020,DJEDAIDA,19632,1342,Feuil2
2020,TEBOURBA,24334,2352,Feuil2
2020,EL BATTANE,17055,1164,Feuil2
2021,MANOUBA,1407,156,Feuil2
2021,DOUAR HICHER,3107,167,Feuil2
2021,OUED ELLIL,10669,861,Feuil2
2021,MORNAGUIA,17595,1075,Feuil2
2021,BORJ EL AMRI,26637,1188,Feuil2
2021,DJEDAIDA,19498,1205,Feuil2
2021,TEBOURBA,32286,3542,Feuil2
2021,EL BATTANE,15801,1307,Feuil2
2022,MANOUBA,1642,71,Feuil2
2022,DOUAR HICHER,2396,318,Feuil2
2022,OUED ELLIL,10385,914,Feuil2
2022,MORNAGUIA,26085,1705,Feuil2
2022,BORJ EL AMRI,31393,1093,Feuil2
2022,DJEDAIDA,29162,1018,Feuil2
2022,TEBOURBA,38496,3339,Feuil2
2022,EL BATTANE,22941,1142,Feuil2
2023,MANOUBA,1433,91,Feuil2
2023,DOUAR HICHER,2261,382,Feuil2
2023,OUED ELLIL,10785,886,Feuil2
2023,MORNAGUIA,26215,1397,Feuil2
2023,BORJ EL AMRI,39176,1535,Feuil2
2023,DJEDAIDA,41480,1725,Feuil2
2023,TEBOURBA,41035,4502,Feuil2
2023,EL BATTANE,15115,1482,Feuil2
