اسم_المايدة,المعتمديات_التي_تشملها_المايدة,الابار_المجهزة,الابار_غير_مجهزة,المجموع,الموارد_م_م3,الاستغلال_م_م3,نسبة_الاستغلال,الملوحة_غ_ل,feuille
كاف عباد12110,سجنان,115,180,295,1.0,0.62,61.0,2019-03-01 00:00:00,Feuil1
بنزرت الشمالية12210,بنزرت الشمالية,186,376,562,3.32,2.0,60.24,2019-04-01 00:00:00,Feuil1
رأس الجبل12310,رأس الجبل,846,738,1584,8.44,11.2,132.0,2019-05-02 00:00:00,Feuil1
عوسجة غر الملح 12320,غار الملح أوتيك,1100,369,1469,7.0,14.0,200.0,1.5 - 6,Feuil1
وادي القرع 13110,بنزرت الجنوبية,318,125,443,3.0,3.0,100.0,2019-03-01 00:00:00,Feuil1
قنيش 13120,العالية-منزل جميل,1123,438,1561,7.5,13.0,173.0,1.5 - 7,Feuil1
منزل بورقيبة 13130,منزل بورقيبة,345,393,738,2.0,1.69,84.5,1.5 - 2,Feuil1
وادي بن حسين 13140,منزل بورقيبة,50,40,90,1.0,0.48,48.0,2019-02-01 00:00:00,Feuil1
وادي سجنان 13210,سجنان,232,450,682,2.9,1.61,55.5,1 - 1.5,Feuil1
ماطر رأس العين 13510,ماطر,449,295,744,8.0,6.66,82.8,1.5- 4,Feuil1
جومين الأعلى 13520,جومين,214,110,324,2.0,0.9,45.4,0.5 - 1.5,Feuil1
وادي الطين 13620,جومين,116,116,232,2.9,0.9,31.0,2019-03-01 00:00:00,Feuil1
مجردة السفلى26020,أوتيك,287,37,324,3.0,1.5,50.0,2.5 - 4,Feuil1
مجموع الولاية,,5381,3667,9048,52.06,57.56,1.106,"7-0,5",Feuil1
