type_de_peche,annee,production_tonnes,feuille
صيد ساحلي,2017,301.0,Feuil1
صيد بالجر,2017,1540.0,Feuil1
صيد سمك أزرق,2017,719.0,Feuil1
بحيرة تونس الشمالية,2017,103.0,Feuil1
صيد ساحلي,2018,461.5,Feuil1
صيد بالجر,2018,1878.0,Feuil1
صيد سمك أزرق,2018,986.0,Feuil1
بحيرة تونس الشمالية,2018,108.5,Feuil1
صيد ساحلي,2019,501.5,Feuil1
صيد بالجر,2019,1950.5,Feuil1
صيد سمك أزرق,2019,380.5,Feuil1
بحيرة تونس الشمالية,2019,104.5,Feuil1
صيد ساحلي,2020,310.0,Feuil1
صيد بالجر,2020,1185.0,Feuil1
صيد سمك أزرق,2020,446.0,Feuil1
بحيرة تونس الشمالية,2020,138.0,Feuil1
صيد ساحلي,2021,491.0,Feuil1
صيد بالجر,2021,1165.0,Feuil1
صيد سمك أزرق,2021,365.0,Feuil1
بحيرة تونس الشمالية,2021,100.0,Feuil1
