date,type_uinite,nombre_unite,feuille
2008-12-31,lait et derivés,10,Feuil1
2008-12-31,unité de sechage,1,Feuil1
2008-12-31,unité de fromage,25,Feuil1
2008-12-31,unité de yaourte,7,Feuil1
2009-12-31,lait et derivés,10,Feuil1
2009-12-31,unité de sechage,1,Feuil1
2009-12-31,unité de fromage,25,Feuil1
2009-12-31,unité de yaourte,7,Feuil1
2010-12-31,lait et derivés,10,Feuil1
2010-12-31,unité de sechage,1,Feuil1
2010-12-31,unité de fromage,25,Feuil1
2010-12-31,unité de yaourte,7,Feuil1
2011-12-31,lait et derivés,10,Feuil1
2011-12-31,unité de sechage,1,Feuil1
2011-12-31,unité de fromage,25,Feuil1
2011-12-31,unité de yaourte,7,Feuil1
2012-12-31,lait et derivés,10,Feuil1
2012-12-31,unité de sechage,1,Feuil1
2012-12-31,unité de fromage,25,Feuil1
2012-12-31,unité de yaourte,7,Feuil1
2013-12-31,lait et derivés,7,Feuil1
2013-12-31,unité de sechage,1,Feuil1
2013-12-31,unité de fromage,40,Feuil1
2013-12-31,unité de yaourte,4,Feuil1
2014-12-31,lait et derivés,9,Feuil1
2014-12-31,unité de sechage,1,Feuil1
2014-12-31,unité de fromage,26,Feuil1
2014-12-31,unité de yaourte,7,Feuil1
2015-12-31,lait et derivés,10,Feuil1
2015-12-31,unité de sechage,1,Feuil1
2015-12-31,unité de fromage,40,Feuil1
2015-12-31,unité de yaourte,4,Feuil1
2016-12-31,lait et derivés,10,Feuil1
2016-12-31,unité de sechage,1,Feuil1
2016-12-31,unité de fromage,40,Feuil1
2016-12-31,unité de yaourte,4,Feuil1
2017-12-31,lait et derivés,11,Feuil1
2017-12-31,unité de sechage,2,Feuil1
2017-12-31,unité de fromage,25,Feuil1
2017-12-31,unité de yaourte,9,Feuil1
2018-12-31,lait et derivés,11,Feuil1
2018-12-31,unité de sechage,2,Feuil1
2018-12-31,unité de fromage,25,Feuil1
2018-12-31,unité de yaourte,9,Feuil1
2019-12-31,lait et derivés,11,Feuil1
2019-12-31,unité de sechage,2,Feuil1
2019-12-31,unité de fromage,25,Feuil1
2019-12-31,unité de yaourte,9,Feuil1
2020-12-31,lait et derivés,11,Feuil1
2020-12-31,unité de sechage,2,Feuil1
2020-12-31,unité de fromage,25,Feuil1
2020-12-31,unité de yaourte,9,Feuil1
2021-12-31,lait et derivés,11,Feuil1
2021-12-31,unité de sechage,2,Feuil1
2021-12-31,unité de fromage,25,Feuil1
2021-12-31,unité de yaourte,9,Feuil1
2022-12-31,lait et derivés,8,Feuil1
2022-12-31,unité de sechage,2,Feuil1
2022-12-31,unité de fromage,25,Feuil1
2022-12-31,unité de yaourte,9,Feuil1
2023-12-31,lait et derivés,8,Feuil1
2023-12-31,unité de sechage,2,Feuil1
2023-12-31,unité de fromage,25,Feuil1
2023-12-31,unité de yaourte,9,Feuil1
2024-12-31,lait et derivés,7,Feuil1
2024-12-31,unité de sechage,2,Feuil1
2024-12-31,unité de fromage,25,Feuil1
2024-12-31,unité de yaourte,9,Feuil1
2025-12-31,lait et derivés,7,Feuil1
2025-12-31,unité de sechage,2,Feuil1
2025-12-31,unité de fromage,25,Feuil1
2025-12-31,unité de yaourte,9,Feuil1
