designation,nombre_de_prelevements,nombre_de_cas_impropres,de_cas_impropres,feuille
2007,47458,591,0.012,Feuil1
2008,47964,638,0.013,Feuil1
2009,47082,470,0.01,Feuil1
2010,47569,408,0.009,Feuil1
2011,49150,493,0.01,Feuil1
2012,48251,739,0.015,Feuil1
2013,55886,855,0.015,Feuil1
2014,48526,882,0.018,Feuil1
2015,48690,1080,0.022,Feuil1
2016,50801,1200,0.024,Feuil1
2017,49806,714,0.014,Feuil1
2018,49107,1149,0.023,Feuil1
2019,48907,1280,0.026,Feuil1
2020,44226,940,0.021,Feuil1
