unnamed_0,unnamed_1,unnamed_2,unnamed_3,feuille
,,,,vente_orge_triticale_qx
,,,triticale_qx,vente_orge_triticale_qx
2008.0,6152.0,4236990.63,,vente_orge_triticale_qx
2009.0,601088.96,2090904.03,13213,vente_orge_triticale_qx
2010.0,1984097.73,3359662.89,75639,vente_orge_triticale_qx
2011.0,1889816.13,2800919.56,26075.75,vente_orge_triticale_qx
2012.0,2163526.38,3286975.76,41141.97,vente_orge_triticale_qx
2013.0,317384.23,7771784.47,774,vente_orge_triticale_qx
2014.0,2172525.58,4096422.75,19584.1,vente_orge_triticale_qx
2015.0,1474527.72,5398726.079999999,6854.8,vente_orge_triticale_qx
2016.0,1029551.13,6769482.89,23,vente_orge_triticale_qx
2017.0,1334404.59,5395530.28,4732.6,vente_orge_triticale_qx
2018.0,854379.84,7055681.98,10507.2,vente_orge_triticale_qx
2019.0,2763000.0,5240000.0,,vente_orge_triticale_qx
,732000.0,5486000.0,,vente_orge_triticale_qx
,79904.28,8215978.81,,vente_orge_triticale_qx
