annee,delegation,amande_production_tonne,amande_superficie_ha,vigne_production_tonne,vigne_superficie_ha,poire_production_tonne,poire_superficie_ha,grenade_production_tonne,grenade_superficie_ha,figuier_vert_production_tonne,figuier_vert_superficie_ha,figuier_production_tonne,figuier_superficie_ha,pomme_production_tonne,pomme_superficie_ha,olive_de_table_production_tonne,olive_de_table_superficie_ha,olive_dhuile_dolive_production_tonne,olive_dhuile_dolive_superficie_ha,cerise_production_tonne,cerise_superficie_ha,abricot_production_tonne,abricot_superficie_ha,prune_production_tonne,prune_superficie_ha,peche_production_tonne,peche_superficie_ha,pistache_production_tonne,pistache_superficie_ha,feuille
2022,Kasserine nord,250,50,0.0,0,0,0,40,5,0,0,40,10,660,120,100,30,1800,820,0,0,45,20,0,0,0,0,0,0,Feuil2
2022,Kasserine sud,5000,2670,0.0,0,380,13,0,0,80,20,180,50,2000,360,200,50,5850,12195,0,0,400,105,100,15,450,67,25,230,Feuil2
2022,Sbeitla,12320,7336,0.0,0,440,21,50,5,0,0,70,15,2200,580,240,80,9000,20043,0,0,540,106,160,20,2000,325,350,1810,Feuil2
2022,Sbiba,5300,2403,0.0,0,160,15,20,5,0,0,160,50,18000,3580,300,100,2350,7955,0,0,1770,655,180,20,4000,673,40,300,Feuil2
2022,Jedliane,70,40,0.0,0,30,3,0,0,0,0,0,0,1500,453,0,0,750,3205,0,0,25,5,0,0,50,5,2,15,Feuil2
2022,El Ayoun,750,390,0.0,0,10,1,0,0,0,0,150,80,1000,215,15,5,350,1760,90,30,30,15,0,0,0,25,2,15,Feuil2
2022,Tela,500,420,0.0,0,0,0,75,12,0,0,160,120,100,32,100,35,2000,7460,160,50,80,25,40,5,40,10,30,270,Feuil2
2022,Heidra,60,58,0.0,0,10,1,15,3,60,10,50,20,100,20,45,15,700,2540,70,30,50,10,40,5,0,5,6,20,Feuil2
2022,Foussena,1050,727,300.0,8,750,120,200,30,160,60,140,50,22500,3583,50,20,2470,6905,50,16,230,60,100,15,830,135,20,110,Feuil2
2022,Feriana,5600,3846,0.0,0,20,2,100,15,0,0,60,25,1900,470,50,20,4130,12295,10,4,270,110,40,5,530,70,70,930,Feuil2
2022,El Mejel Bel Abbess,6700,3620,0.0,0,0,0,0,0,0,0,100,80,0,7,200,45,4500,11805,0,0,860,323,0,0,600,65,400,4110,Feuil2
2022,Hassi Ferid,2400,1340,0.0,0,0,0,0,0,0,0,90,30,40,10,0,0,1100,4917,0,0,0,0,0,0,0,0,5,65,Feuil2
2023,Kasserine nord,250,50,,0,0,0,40,5,0,0,20,10,750,120,100,30,1800,880,0,0,50,20,0,0,0,0,0,0,Feuil2
2023,Kasserine sud,4300,2670,,0,400,13,0,0,40,20,80,50,2600,360,160,50,5000,12235,0,0,500,105,60,15,430,65,30,230,Feuil2
2023,Sbeitla,10250,7555,,0,500,21,50,5,0,0,30,15,2500,590,280,80,7000,20170,0,0,550,105,200,20,2000,325,400,1810,Feuil2
2023,Sbiba,2800,2420,,0,220,15,80,15,0,0,90,55,21700,3770,300,100,3000,8085,0,0,2400,655,180,25,3400,695,50,300,Feuil2
2023,Jedliane,50,40,,0,40,3,0,0,0,0,0,0,1700,457,0,0,700,3220,0,0,30,5,0,0,50,5,5,15,Feuil2
2023,El Ayoun,380,390,,0,10,1,0,0,0,0,100,80,1200,215,20,5,300,1760,125,30,35,15,0,0,160,25,5,15,Feuil2
2023,Tela,460,460,,0,0,10,70,12,0,0,140,120,100,50,120,35,2200,7510,200,50,80,25,50,5,50,10,40,270,Feuil2
2023,Heidra,60,80,,0,10,1,20,3,15,10,25,20,120,35,50,15,1000,2700,100,30,55,10,40,5,30,5,5,20,Feuil2
2023,Foussena,1050,770,250.0,8,1000,130,230,35,125,60,80,50,27000,3845,60,20,2600,6955,50,16,500,65,210,15,850,135,25,110,Feuil2
2023,Feriana,3700,3870,,0,20,2,110,15,0,0,20,25,2290,470,60,20,3400,12350,0,4,300,110,60,5,430,70,80,935,Feuil2
2023,El Mejel Bel Abbess,5500,4020,,0,0,0,0,0,0,0,75,80,0,8,150,45,2500,12100,0,0,1100,325,0,0,600,65,450,4250,Feuil2
2023,Hassi Ferid,1200,1340,,0,0,0,0,0,0,0,60,30,40,10,0,0,500,5035,0,0,0,0,0,0,0,0,10,65,Feuil2
