direction_regionale,nombre_des_adherants_en_2020,feuille
Beja,14,Feuil1
Jendouba,25,Feuil1
Bizerte,10,Feuil1
Kef,9,Feuil1
Siliana,22,Feuil1
Total,80,Feuil1
