annee,delegation,code_geogra_phique,terres_agricoles_ha,terres_non_labourables_ha,forets_parcours_ha,feuille
2023,Mahdia,3351.0,15414.0,1300.0,0.0,Feuil1
2023,REJICHE *,,,,,Feuil1
2023,Bou Merdes,3352.0,16059.0,1285.0,302.0,Feuil1
2023,Ouled Chamekh,3353.0,23827.0,9300.0,8930.0,Feuil1
2023,Chorbane,3354.0,32176.0,8393.0,2803.0,Feuil1
2023,Hbira,3355.0,19591.0,7091.0,3133.0,Feuil1
2023,Essouassi,3356.0,29566.0,1350.0,2465.0,Feuil1
2023,El Jem,3357.0,25076.0,2900.0,78.0,Feuil1
2023,Chebba,3358.0,10682.0,1050.0,,Feuil1
2023,Melloulech,3359.0,15230.0,600.0,114.0,Feuil1
2023,Sidi Alouane,3360.0,24447.0,2840.0,221.0,Feuil1
2023,Ksour Essaf,3361.0,14343.0,6280.0,954.0,Feuil1
2023,EL BERADAA*,,,,,Feuil1
2023,TOTAL,33.0,226411.0,42389.0,19000.0,Feuil1
2024,Mahdia,3351.0,15414.0,1300.0,0.0,Feuil1
2024,REJICHE *,,,,,Feuil1
2024,Bou Merdes,3352.0,16059.0,1285.0,302.0,Feuil1
2024,Ouled Chamekh,3353.0,23827.0,9300.0,8930.0,Feuil1
2024,Chorbane,3354.0,32176.0,8393.0,2803.0,Feuil1
2024,Hbira,3355.0,19591.0,7091.0,3133.0,Feuil1
2024,Essouassi,3356.0,29566.0,1350.0,2465.0,Feuil1
2024,El Jem,3357.0,25076.0,2900.0,78.0,Feuil1
2024,Chebba,3358.0,10682.0,1050.0,0.0,Feuil1
2024,Melloulech,3359.0,15230.0,600.0,114.0,Feuil1
2024,Sidi Alouane,3360.0,24447.0,2840.0,221.0,Feuil1
2024,Ksour Essaf,3361.0,14343.0,6280.0,954.0,Feuil1
2024,EL BERADAA*,,,,,Feuil1
2024,TOTAL,33.0,226411.0,42389.0,19000.0,Feuil1
